,items,support,count
1,{Commentator},0.001261947605804959,54
2,{Critic},0.0012853170059124583,55
3,{Guru},0.0014956416068799515,64
4,{Booster},0.0015891192073099485,68
5,{Enthusiast},0.001916290808814938,82
6,{Student},0.0019863990091374354,85
7,{Famous Question},0.0020565072094599333,88
8,{Organizer},0.0021967236101049286,94
9,{Vox Populi},0.0023836788109649226,102
10,{Lifeboat},0.0030847608141899,132
11,{Steward},0.0033184548152648922,142
12,{Sportsmanship},0.0036456264167698815,156
13,{Curious},0.00369236521698488,158
14,{Strunk & White},0.0037391040171998787,160
15,{Supporter},0.003832581617629876,164
16,{Notable Question},0.004673880021499849,200
17,{Marshal},0.0048374658222523435,207
18,{Sheriff},0.004860835222359842,208
19,{Caucus},0.02068191909513683,885
20,{Teacher},0.021406370498469305,916
21,{Proofreader},0.022972120305671754,983
22,{Civic Duty},0.039914935383608706,1708
23,{Synonymizer},0.040826341987801176,1747
24,{Scholar},0.04440186020424856,1900
25,{Refiner},0.05800285106681312,2482
26,{Excavator},0.08377929938538478,3585
27,{Tumbleweed},0.2438830595218621,10436
28,{Electorate},0.3648197050781707,15611
