,LHS,RHS,support,confidence,coverage,lift,count
1,{},{Caucus},0.02068191909513683,0.02068191909513683,1.0,1.0,885
2,{},{Teacher},0.021406370498469305,0.021406370498469305,1.0,1.0,916
3,{},{Proofreader},0.022972120305671754,0.022972120305671754,1.0,1.0,983
4,{},{Civic Duty},0.039914935383608706,0.039914935383608706,1.0,1.0000000000000002,1708
5,{},{Synonymizer},0.040826341987801176,0.040826341987801176,1.0,1.0000000000000002,1747
6,{},{Scholar},0.04440186020424856,0.04440186020424856,1.0,1.0,1900
7,{},{Refiner},0.05800285106681311,0.05800285106681311,1.0,1.0,2482
8,{},{Excavator},0.08377929938538478,0.08377929938538478,1.0,1.0,3585
9,{},{Tumbleweed},0.24388305952186207,0.24388305952186207,1.0,1.0,10436
10,{},{Electorate},0.36481970507817063,0.36481970507817063,1.0,1.0,15611
