,items,support,count
1,{chosen-plaintext-attack},0.0010512166540290893,61
2,{complexity},0.001102915833735438,64
3,{schnorr-signature},0.0010684497139312056,62
4,{optimization},0.0015165092713862272,88
5,{shuffle},0.001016750534224857,59
6,{rsa},0.0010512166540290893,61
7,{speck},0.001016750534224857,59
8,{statistical-test},0.0010512166540290893,61
9,{anonymity},0.001258013372854484,73
10,{integrity},0.0012752464327566001,74
11,{secure-storage},0.001016750534224857,59
12,{tea},0.0010684497139312056,62
13,{universal-hash},0.001102915833735438,64
14,{gimli},0.0011718480733439029,68
15,{biclique-attack},0.0013958778520714137,81
16,{wpa2-psk},0.0010339835941269731,60
17,{key-schedule},0.0015682084510925758,91
18,{cryptdb},0.0013269456124629488,77
19,{sha-1},0.0015165092713862272,88
20,{shift-register},0.0012407803129523677,72
21,{ofb},0.001189081133246019,69
22,{security-definition},0.0014131109119735299,82
23,{military-encryption},0.001258013372854484,73
24,{elliptic-curves},0.0013269456124629488,77
25,{libsodium},0.0011201488936375542,65
26,{picnic},0.001258013372854484,73
27,{index-of-coincidence},0.001189081133246019,69
28,{rc6},0.0014820431515819947,86
29,{oblivious-transfer},0.0014820431515819947,86
30,{merkle-damgaard},0.0014131109119735299,82
31,{snarks},0.0014648100916798785,85
32,{symmetric},0.0013614117322671812,79
33,{des},0.0011546150134417866,67
34,{private-set-intersection},0.0016199076307989245,94
35,{hermitian-curves},0.0013614117322671812,79
36,{serpent},0.0014820431515819947,86
37,{pkcs1},0.0015337423312883434,89
38,{abe},0.001723305990211622,100
39,{lightweight},0.0014648100916798785,85
40,{domain-parameters},0.001430343971875646,83
41,{non-repudiation},0.0018439374095264355,107
42,{software-obfuscation},0.0016199076307989245,94
43,{compression-function},0.0013958778520714137,81
44,{bip32},0.0016371406907010407,95
45,{ios},0.0013269456124629488,77
46,{secret-sharing},0.0013097125525608326,76
47,{deterministic-encryption},0.0015165092713862272,88
48,{test-vectors},0.0013614117322671812,79
49,{password-hashing},0.0017405390501137382,101
50,{idea},0.001654373750603157,96
51,{resources},0.0015165092713862272,88
52,{arithmetic},0.0015337423312883434,89
53,{io},0.0017060729303095057,99
54,{siv},0.002378162266492038,138
55,{crl},0.0016371406907010407,95
56,{pgp},0.0017577721100158544,102
57,{lucas},0.0018439374095264355,107
58,{indistinguishability},0.002033501068449714,118
59,{traffic-analysis},0.0018439374095264355,107
60,{hill-cipher},0.0018956365892327841,110
61,{modes-of-operation},0.0017750051699179706,103
62,{voting},0.0019301027090370165,112
63,{permutation},0.0019128696491349003,111
64,{skein},0.0019990349486454814,116
65,{prime-field},0.002136899427862411,124
66,{negligible},0.001964568828841249,114
67,{one-time-password},0.002136899427862411,124
68,{xof},0.0017405390501137382,101
69,{ciphertext-only-attack},0.0021196663679602947,123
70,{poly1305},0.001723305990211622,100
71,{decryption},0.0017922382298200868,104
72,{hamming},0.0018439374095264355,107
73,{order-preserving},0.00205073412835183,119
74,{ecies},0.0024126283862962706,140
75,{circuit},0.001964568828841249,114
76,{authenticated-encryption},0.0021713655476666436,126
77,{desx},0.002671124284828014,155
78,{convergent-encryption},0.0022230647273729924,129
79,{related-keys},0.002602192045219549,151
80,{functional-encryption},0.0022402977872751084,130
81,{s-boxes},0.002360929206589922,137
82,{dictionary-attack},0.0030330185427724543,176
83,{misuse-resistant},0.002136899427862411,124
84,{pbkdf-2},0.002671124284828014,155
85,{trusted-platform-module},0.0025849589853174327,150
86,{roca},0.0024126283862962706,140
87,{error-propagation},0.002671124284828014,155
88,{dsa},0.002378162266492038,138
89,{tokenization},0.0025332598056110843,147
90,{s-des},0.0025677259254153167,149
91,{length-extension},0.002671124284828014,155
92,{checksum},0.0031364169021851516,182
93,{preimage-resistance},0.002843454883849176,165
94,{probabilistic-encryption},0.0029468532432618735,171
95,{pohlig-hellman},0.002740056524436479,159
96,{modular-arithmetic},0.0030502516026745708,177
97,{rainbow-table},0.0037912731784655682,220
98,{niederreiter},0.002843454883849176,165
99,{group-theory},0.003084717722478803,179
100,{multi-prime-rsa},0.004015302957193079,233
101,{transposition-cipher},0.003636175639346522,211
102,{arx},0.0038429723581719167,223
103,{balloon},0.003222582201695733,187
104,{random-oracle-model},0.0038085062383676842,221
105,{rc4},0.0038257392982698007,222
106,{cbc},0.0038429723581719167,223
107,{puf},0.0037912731784655682,220
108,{scrambling},0.003998069897290963,232
109,{differential-analysis},0.004153167436410009,241
110,{pbkdf},0.0037912731784655682,220
111,{cryptoapi},0.0041704004963121245,242
112,{sstp},0.004446129454745985,258
113,{scrypt},0.003860205418074033,224
114,{truecrypt},0.003877438477976149,225
115,{key-reuse},0.004756324532984076,276
116,{hmac},0.0043944302750396355,255
117,{collision-atack},0.00451506169435445,262
118,{tpm},0.0049114220721031224,285
119,{cryptocurrency},0.004497828634452333,261
120,{pseudo-random-function},0.0051354518508306335,298
121,{semantic-security},0.005359481629558144,311
122,{simon},0.006238367684566071,362
123,{sha-3-competition},0.004773557592886193,277
124,{key-rotation},0.004704625353277728,273
125,{key-recovery},0.006255600744468188,363
126,{universal-re-encryption},0.005462879988970841,317
127,{hash-tree},0.0058420073068173985,339
128,{pki},0.004687392293375611,272
129,{plausible-deniability},0.006221134624663955,361
130,{sha-256},0.005273316330047563,306
131,{garbled-circuits},0.0061005032053491415,354
132,{knapsack},0.005273316330047563,306
133,{balloon-hashing},0.007444681877714207,432
134,{commutative-encryption},0.006393465223685117,371
135,{mceliece},0.0065830288826083955,382
136,{information-theory},0.005273316330047563,306
137,{transport-security},0.007272351278693044,422
138,{playfair},0.005962638726132212,346
139,{predicate-encryption},0.005893706486523747,342
140,{otr},0.0065830288826083955,382
141,{padding},0.007082787619769766,411
142,{bitslicing},0.007548080237126904,438
143,{education},0.007754876955952298,450
144,{cades},0.00806507203419039,468
145,{voip},0.00797890673467981,463
146,{copy-protection},0.0089267250292962,518
147,{elgamal-encryption},0.007461914937616322,433
148,{diffusion},0.00884055972978562,513
149,{mixnets},0.008754394430275038,508
150,{umac},0.008616529951058109,500
151,{secp256k1},0.009633280485282966,559
152,{random-number-generator},0.008013372854484042,465
153,{vigenere},0.012493968429034259,725
154,{ransomware},0.009840077204108361,571
155,{wots},0.012545667608740606,728
156,{keccak},0.009099055628317363,528
157,{matrix-multiplication},0.009512649065968153,552
158,{pkcs11},0.009874543323912592,573
159,{brute-force-attack},0.010322602881367614,599
160,{siphash},0.010684497139312056,620
161,{pollard-rho},0.012321637830013096,715
162,{database},0.011046391397256496,641
163,{s2k},0.012269938650306747,712
164,{aes},0.013648583442476046,792
165,{forward-secrecy},0.013045426345901978,757
166,{known-plaintext-attack},0.015440821672296132,896
167,{key-derivation},0.016250775487695594,943
168,{programming-interface},0.01986971806714,1153
169,{certificates},0.023988419383745775,1392
170,{twofish},0.029416833252912385,1707
171,{visual-cryptography},0.03281174605362928,1904
