,LHS,RHS,support,confidence,coverage,lift,count
1,{},{vigenere},0.012493968429034259,0.012493968429034259,1.0,1.0,725
2,{},{wots},0.012545667608740608,0.012545667608740608,1.0,1.0,728
3,{},{brute-force-attack},0.010322602881367616,0.010322602881367616,1.0,1.0,599
4,{},{siphash},0.010684497139312056,0.010684497139312056,1.0,1.0,620
5,{},{pollard-rho},0.012321637830013096,0.012321637830013096,1.0,1.0,715
6,{},{database},0.011046391397256498,0.011046391397256498,1.0,1.0,641
7,{},{s2k},0.012269938650306749,0.012269938650306749,1.0,1.0,712
8,{},{aes},0.013648583442476046,0.013648583442476046,1.0,1.0,792
9,{},{forward-secrecy},0.013045426345901978,0.013045426345901978,1.0,1.0,757
10,{},{known-plaintext-attack},0.015440821672296132,0.015440821672296132,1.0,1.0,896
11,{},{key-derivation},0.016250775487695594,0.016250775487695594,1.0,1.0,943
12,{},{programming-interface},0.01986971806714,0.01986971806714,1.0,1.0,1153
13,{},{certificates},0.02398841938374578,0.02398841938374578,1.0,1.0,1392
14,{},{twofish},0.02941683325291239,0.02941683325291239,1.0,1.0,1707
15,{},{visual-cryptography},0.032811746053629284,0.032811746053629284,1.0,1.0,1904
16,{},{number-field-sieve},0.040652788309092164,0.040652788309092164,1.0,1.0,2359
17,{},{encryption},0.03894671537878266,0.03894671537878266,1.0,1.0,2260
18,{},{timestamping},0.04378920521127731,0.04378920521127731,1.0,1.0,2541
19,{},{terminology},0.06946646446543048,0.06946646446543048,1.0,0.9999999999999999,4031
20,{serpent},{twofish},0.0014303439718756463,0.9651162790697675,0.001482043151581995,32.80829961444667,83
21,{twofish},{serpent},0.0014303439718756463,0.04862331575864089,0.029416833252912385,32.80829961444667,83
22,{voting},{simon},0.001016750534224857,0.5267857142857143,0.0019301027090370165,84.44287687450671,59
23,{simon},{voting},0.001016750534224857,0.16298342541436464,0.006238367684566071,84.44287687450671,59
24,{xof},{encryption},0.00141311091197353,0.8118811881188119,0.0017405390501137382,20.845947603609922,82
25,{encryption},{xof},0.00141311091197353,0.036283185840707964,0.03894671537878266,20.84594760360992,82
26,{ecies},{vigenere},0.0012580133728544841,0.5214285714285715,0.002412628386296271,41.7344236453202,73
27,{vigenere},{ecies},0.0012580133728544841,0.1006896551724138,0.01249396842903426,41.7344236453202,73
28,{circuit},{timestamping},0.0010512166540290893,0.5350877192982456,0.001964568828841249,12.219626200487443,61
29,{timestamping},{circuit},0.0010512166540290893,0.024006296733569462,0.04378920521127731,12.219626200487445,61
30,{s-boxes},{encryption},0.001189081133246019,0.5036496350364964,0.0023609292065899217,12.931761514114076,69
31,{encryption},{s-boxes},0.001189081133246019,0.030530973451327433,0.03894671537878265,12.931761514114076,69
32,{misuse-resistant},{timestamping},0.0011201488936375542,0.5241935483870968,0.002136899427862411,11.97083952215917,65
33,{timestamping},{misuse-resistant},0.0011201488936375542,0.02558048012593467,0.04378920521127731,11.97083952215917,65
34,{pbkdf-2},{twofish},0.0012235472530502515,0.45806451612903226,0.002671124284828014,15.571510100723774,71
35,{twofish},{pbkdf-2},0.0012235472530502515,0.04159343878148799,0.029416833252912385,15.571510100723774,71
36,{roca},{timestamping},0.0012063141931481353,0.5,0.0024126283862962706,11.418339236521055,70
37,{timestamping},{roca},0.0012063141931481353,0.027548209366391185,0.04378920521127731,11.418339236521055,70
38,{s-des},{timestamping},0.0019818018887433654,0.7718120805369127,0.0025677259254153167,17.625624324831158,115
39,{timestamping},{s-des},0.0019818018887433654,0.045257772530499805,0.04378920521127731,17.625624324831158,115
