id,value
des,382
permutation,155
sha-1,261
hash,2541
cryptanalysis,1392
literature,13
rsa,2359
encryption,4031
s-boxes,220
ripemd,16
salt,187
implementation,463
aes,2260
block-cipher,943
coding-theory,45
elliptic-curves,1707
hermitian-curves,2
tls,559
public-key,1904
keys,757
playfair,28
random-number-generator,715
database,76
xor,262
stream-cipher,468
side-channel-attack,182
timing-attack,95
resources,18
one-time-pad,361
authentication,641
file-encryption,155
passwords,450
oblivious-transfer,94
multiparty-computation,363
function-evaluation,22
algebraic-attack,41
key-size,273
statistical-test,72
post-quantum-cryptography,513
key-derivation,528
test-vectors,58
bcrypt,88
blowfish,57
signature,1153
substitution-cipher,151
sha-256,500
entropy,339
mac,508
protocol-design,620
elgamal-encryption,298
modes-of-operation,306
discrete-logarithm,518
finite-field,311
md5,242
differential-analysis,123
white-box,28
dsa,411
number-theory,211
feistel-network,116
provable-security,571
group-theory,258
hmac,552
birthday-attack,86
sha-2,124
enigma,64
initialization-vector,342
cbc,433
alternating-step,6
3des,111
reference-request,382
homomorphic-encryption,725
history,96
brute-force-attack,306
dictionary-attack,23
key-exchange,573
rc4,100
symmetric,712
zero-knowledge-proofs,728
fiat-shamir,49
ntru,86
diffie-hellman,896
backdoors,37
key-escrow,6
prime-numbers,317
cryptographic-hardware,126
algorithm-design,792
randomness,438
certificates,241
replay-attack,43
classical-cipher,223
hotp,33
random-oracle-model,124
authenticated-encryption,465
scrypt,77
pgp,223
secret-sharing,432
deniable-encryption,29
preimage-resistance,149
2nd-preimage-resistance,67
xml-encryption,9
mceliece,40
ecb,129
one-way-function,233
wpa2-psk,23
key-wrap,31
ciphertext-only-attack,40
chosen-plaintext-attack,255
known-plaintext-attack,177
chosen-ciphertext-attack,179
pairings,220
copy-protection,16
forgery,69
anonymity,77
challenge-response,40
password-based-encryption,147
linear-cryptanalysis,94
ctr,224
padding,277
elgamal-signature,74
malleability,39
hashed-elgamal,5
convergent-encryption,13
collision-resistance,599
pbkdf-2,225
disk-encryption,47
compression,79
commitments,176
pseudo-random-function,354
integrity,130
serpent,37
twofish,39
key-check-value,10
crc,39
hill-cipher,43
terminology,285
complexity,222
hash-tree,82
paillier,140
secure-index,5
proof-of-work,77
key-reuse,100
eax,18
blind-signature,61
skein,10
distinguisher,73
length-extension,59
rijndael,101
semantic-security,83
notation,91
ofb,34
biclique-attack,3
quantum-cryptography,101
index-of-coincidence,14
blum-blum-shub,18
host-proof,14
gcm,272
format-preserving,81
schnorr-signature,99
tweakable-cipher,31
pki,107
standards,104
fips-140,39
cfb,50
sstp,1
ed25519,155
ssh,73
padding-oracle,62
one-time-password,54
timestamping,38
order-preserving,27
security-definition,232
performance,107
steganography,88
mental-poker,18
idea,14
arithmetic,26
matrix-multiplication,46
vigenere,118
cbc-mac,103
sha-512,114
pseudo-random-generator,422
hkdf,89
nist,165
sha-3,140
non-repudiation,25
voip,6
decryption-oracle,27
xts,40
ocb,15
lattice-crypto,362
predicate-encryption,9
functional-encryption,37
identity-based-encryption,107
protocol-analysis,171
sponge,55
threefish,11
lfsr,138
multiple-encryption,95
ccm,45
nonce,159
srp,50
safe-prime,40
pen-and-paper,48
deterministic-encryption,60
asn.1,33
trapdoor,59
md4,13
keccak,88
man-in-the-middle,107
openssl,306
pkcs11,37
negligible,26
oaep,59
poly1305,65
encoding,110
onion-routing,6
key-rotation,17
proxy-re-encryption,31
u-prove,5
forward-secrecy,69
nsa,32
adversarial-model,61
modular-arithmetic,371
simon,10
speck,8
bijection,23
siv,23
merkle-damgaard,85
hash-signature,119
software-obfuscation,31
skipjack,4
access-control,25
fortuna,14
key-distribution,41
voting,58
mixnets,17
rabin-cryptosystem,45
ipsec,35
hamming,16
universal-composability,44
pkcs8,11
timed-release,25
threshold-cryptography,85
distributed-decryption,17
cryptoapi,9
s-mime,8
universal-hash,44
cpu,14
meet-in-the-middle-attack,64
lightweight,51
blocksize,79
attack,346
mars,4
salsa20,81
camellia,21
monotone-access-structure,9
information-theory,58
commutative-encryption,39
data-privacy,102
pseudo-random-permutation,150
luby-rackoff,7
three-pass-protocol,17
certificateless-crypto,16
key-recovery,40
crl,11
perfect-secrecy,155
pir,14
cmac,49
md2,3
constants,23
niederreiter,9
mixing-function,7
avalanche,31
accumulators,51
pohlig-hellman,29
quadratic-residuosity,42
key-schedule,57
acoustic-cryptanalysis,2
rc6,8
congruence,14
transposition-cipher,34
secure-storage,68
remote-data-checking,10
needham-schroeder,11
private-set-intersection,45
homomorphic-signatures,26
ephemeral,19
plausible-deniability,13
embedded,36
miyaguchi-preneel,5
multi-prime-rsa,18
traitor-tracing,8
knapsack,13
rsap,1
kbkdf,7
cramer-shoup,10
key-generation,114
schnorr-identification,37
sha-3-competition,4
tea,12
oblivious-ram,14
ecies,50
rainbow-table,37
frequency-analysis,42
tokenization,12
pbkdf,38
education,12
searchable-encryption,22
truecrypt,13
verifiability,73
feal,6
desx,8
lucas,3
error-propagation,14
arx,21
rc2,4
memory-hard,33
smartcard,12
dpa,13
broadcast-encryption,27
traffic-analysis,7
file-format,22
differential-privacy,61
blake2,38
unicity-distance,7
hardness-assumptions,124
libsodium,82
diffusion,29
blinding,32
shacal-2,3
s-des,5
hard-core-predicate,12
logjam,8
universal-re-encryption,4
elliptic-curve-generation,86
p1363,4
cms,20
montgomery-multiplication,38
chacha,138
cryptdb,7
probabilistic-encryption,31
siphash,10
ransomware,14
kem,20
garbled-circuits,62
transport-security,56
trusted-platform-module,13
dual-ec-drbg,13
visual-cryptography,19
kerberos,11
algebraic-eraser,4
pedagogy,4
present,17
password-hashing,220
norx,9
carter-wegman,13
xsalsa20,13
keyak,5
pollard-rho,20
prime-field,17
bitslicing,9
affine-cipher,44
unlinkability,6
abe,88
rsa-pss,31
isogeny,41
otr,8
sieve,6
digital-rights-management,6
sat,7
snake-oil-cryptography,4
argon2,79
message-recovery,18
xof,13
pkcs1,42
kmac,6
factoring,276
number-field-sieve,10
bls-signature,26
spn,25
puf,15
sha-224,2
lwe,112
pades,2
two-factor-authentication,10
compression-function,22
balloon,2
ciphersuite,17
sis,24
io,9
hybrid-encryption,41
ios,5
newhope,11
trng,31
balloon-hashing,1
wireguard,5
gimli,11
scrambling,3
domain-parameters,6
ring-lwe,89
aes-gcm,137
cryptocurrency,221
misuse-resistant,5
verifiable-random-function,11
umac,5
roca,6
kalyna,5
circuit,21
quantum-cryptanalysis,33
x25519,30
future-secrecy,2
machine-learning,21
one-time-signature,16
checksum,27
pake,34
probability,46
programming-interface,5
ghash,5
davis-meyer,2
multivariate-cryptography,16
sgcm,1
x.509,10
ed448,6
jwe,11
jws,4
jose,4
jwt,22
fault-attack,8
rfc7748,2
starks,4
signal-protocol,32
e0,5
multi-signature,7
military-encryption,4
pss,2
decryption,165
