,items,support,count
1,{Taxonomist},0.0010906765955846403,58
2,{Necromancer},0.0015231862800406185,81
3,{Good Answer},0.002256572266726842,120
4,{Supporter},0.0026138628756252587,139
5,{Unsung Hero},0.0027643010267403814,147
6,{Editor},0.002783105795629772,148
7,{Student},0.0034036631689796535,181
8,{Tenacious},0.0037421490089886798,199
9,{Populist},0.003873782391214412,206
10,{Mortarboard},0.004738801760126368,252
11,{Guru},0.0056038211290383244,298
12,{Convention},0.0075783218624243115,403
13,{Caucus},0.01658580616044229,882
14,{Teacher},0.022189627289480613,1180
15,{Announcer},0.024314566173981724,1293
16,{Quorum},0.030971454360825906,1647
17,{Cleanup},0.034299898454247996,1824
18,{Proofreader},0.041182443867764866,2190
19,{Notable Question},0.04859152281018467,2584
20,{Archaeologist},0.0672270487795705,3575
21,{Popular Question},0.1054195343939223,5606
22,{Curious},0.20179397495204784,10731
23,{Steward},0.3538305314227688,18816
