id,value
definitions,35
machine-learning,9519
bigdata,451
data-mining,1087
databases,91
libsvm,14
scalability,31
efficiency,34
performance,158
nosql,21
relational-dbms,6
clustering,1181
octave,16
k-means,388
algorithms,361
tools,62
processing,17
apache-hadoop,118
r,1334
data-cleaning,600
statistics,934
distributed,41
neo4j,12
information-retrieval,116
google,41
search,46
education,32
open-source,18
similarity,244
data-stream-mining,17
dimensionality-reduction,251
python,5604
nlp,2025
language-model,77
topic-model,120
lda,113
feature-selection,812
map-reduce,27
mongodb,14
indexing,15
data-indexing-techniques,8
dataset,1232
.net,10
pandas,1082
parallel,36
metadata,18
parsing,28
social-network-analysis,85
time-series,1481
javascript,34
visualization,595
svm,499
classification,2712
binary,97
optimization,408
neural-network,3857
usecase,8
consumerweb,6
parameter,39
aws,47
text-mining,539
freebase,3
knowledge-base,22
confusion-matrix,140
accuracy,311
categorical-data,332
data-formats,34
hierarchical-data-format,24
sql,89
research,46
experiments,36
random-forest,718
logistic-regression,561
evaluation,248
crawling,10
anonymization,12
beginner,135
graphs,190
cross-validation,531
sampling,156
scikit-learn,1931
kaggle,105
gradient-descent,381
feature-extraction,342
state-of-the-art,7
career,54
genetic,6
correlation,329
error-handling,46
apache-pig,7
glm,28
regression,1273
scala,47
csv,84
online-learning,47
gbm,59
marketing,28
predictive-modeling,1033
library,17
java,51
anomaly-detection,289
forecast,95
sequence,101
hbase,2
tableau,47
deep-learning,4079
ensemble-modeling,155
infographics,7
feature-scaling,212
apache-mahout,15
hive,16
object-recognition,58
hog,3
computer-vision,505
methods,16
scoring,51
ranking,100
sports,6
markov-process,63
matlab,153
simulation,25
finance,52
apache-spark,232
linear-regression,608
version-control,10
convnet,8
image-classification,675
software-development,15
rstudio,59
programming,35
notation,14
terminology,82
sas,20
hyperparameter,131
survival-analysis,41
discriminant-analysis,21
multiclass-classification,426
books,37
genetic-algorithms,50
featurization,5
decision-trees,626
self-study,46
named-entity-recognition,154
bioinformatics,24
data,682
multitask-learning,30
word-embeddings,386
software-recommendation,35
preprocessing,417
multilabel-classification,265
reference-request,70
julia,13
loss-function,439
ggplot2,37
normalization,240
weighted-data,61
feature-construction,71
supervised-learning,322
descriptive-statistics,74
aggregation,36
c,15
missing-data,155
markov,12
expectation-maximization,21
distance,128
cosine-distance,71
learning,32
ipython,50
anaconda,53
numerical,21
history,7
outlier,182
unsupervised-learning,398
probability,246
autoencoder,295
backpropagation,264
theano,46
fuzzy-logic,28
weka,59
scraping,37
xgboost,581
data-wrangling,47
data-product,16
tensorflow,1917
excel,64
semi-supervised-learning,48
keras,2483
azure-ml,49
machine-translation,71
data-imputation,92
gensim,91
lsi,7
model-selection,203
feature-engineering,524
hinge-loss,8
stata,6
text,134
json,29
reinforcement-learning,528
q-learning,128
google-prediction-api,7
ab-test,42
nltk,127
apache-kafka,4
pybrain,3
word2vec,314
convergence,33
pgm,5
parameter-estimation,43
bayesian-networks,50
orange,197
churn,37
naive-bayes-classifier,176
image-recognition,237
market-basket-analysis,24
association-rules,63
audio-recognition,90
rbm,30
interpolation,17
recommender-system,412
regularization,143
dbscan,62
pca,285
randomized-algorithms,20
rnn,681
labels,91
tsne,53
manifold,10
stanford-nlp,52
dropout,58
training,524
amazon-ml,8
geospatial,64
sequential-pattern-mining,50
gpu,144
jaccard-coefficient,12
pyspark,113
jupyter,127
sentiment-analysis,185
torch,18
competitions,7
overfitting,276
powerbi,26
prediction,370
score,30
encoding,140
spss,9
gaussian,74
mutual-information,20
bayesian,102
etl,14
graphical-model,25
domain-adaptation,15
methodology,35
theory,50
distribution,133
text-generation,54
estimators,16
information-theory,33
cost-function,64
data-augmentation,94
inception,48
caffe,15
redshift,5
text-filter,11
management,12
variance,97
regex,31
noisification,3
privacy,9
vc-theory,20
search-engine,19
community,6
monte-carlo,26
pytorch,484
dirichlet,6
plotting,124
matrix-factorisation,54
convolution,278
active-learning,25
tokenization,38
linux,10
data-leakage,39
gan,198
rattle,3
embeddings,149
ocr,59
linear-algebra,72
similar-documents,56
representation,34
lda-classifier,7
perceptron,83
automatic-summarization,26
nvidia,18
alex-net,13
smote,85
class-imbalance,449
dataframe,274
classifier,61
vector-space-models,34
lstm,1002
forecasting,247
mnist,79
tfidf,103
learning-rate,34
twitter,20
cloud,15
batch-normalization,54
word,9
generative-models,116
game,16
ngrams,26
meta-learning,16
ensemble,34
pac-learning,15
cnn,1202
tranformation,4
seaborn,79
historgram,22
counts,10
numpy,297
activation-function,138
cloud-computing,21
homework,12
keras-rl,11
openai-gym,39
dqn,82
mini-batch-gradient-descent,54
neural-style-transfer,13
noise,31
yolo,76
ibm-watson,1
speech-to-text,39
matplotlib,176
tflearn,9
learning-to-rank,20
anomaly,15
actor-critic,25
grid-search,93
hyperparameter-tuning,193
bayes-error,9
transfer-learning,164
kernel,78
reshape,28
project-planning,11
scipy,72
bias,72
markov-hidden-model,34
sequence-to-sequence,103
svr,13
vgg16,46
object-detection,300
automation,6
glorot-initialization,2
faster-rcnn,47
ensemble-learning,37
k-nn,157
hardware,25
ai,67
colab,50
data-science-model,442
machine-learning-model,570
mlp,82
annotation,28
normal-equation,8
metric,183
data-analysis,220
self-driving,8
generalization,34
boosting,112
objective-function,19
predictor-importance,28
momentum,6
weight-initialization,38
dplyr,17
epochs,34
cs231n,2
gridsearchcv,71
sensors,7
mcmc,5
probabilistic-programming,13
policy-gradients,58
stacked-lstm,15
ndcg,9
fastai,10
pipelines,70
nlg,11
heatmap,25
collinearity,21
matrix,62
spatial-transformer,3
evolutionary-algorithms,15
opencv,90
feature-reduction,9
activity-recognition,6
orange3,86
features,68
genetic-programming,8
attention-mechanism,114
rbf,13
neural,20
implementation,90
code,13
image-size,6
imbalanced-learn,42
smotenc,7
image-preprocessing,142
deepmind,12
wolfram-language,4
chatbot,15
finite-precision,5
h2o,8
dynamic-programming,7
ridge-regression,21
image,74
discounted-reward,6
difference,13
3d-reconstruction,13
sagemaker,23
transformer,213
gmm,6
bert,220
dummy-variables,36
pip,12
aws-lambda,4
serialisation,4
density-estimation,10
mathematics,150
finetuning,23
vae,40
web-scraping,22
mean-shift,3
structured-data,7
fuzzy-classification,6
probability-calibration,33
gaussian-process,22
inceptionresnetv2,19
explainable-ai,51
softmax,45
coursera,8
manhattan,4
mse,29
lasso,29
lightgbm,63
pooling,13
one-shot-learning,7
feature-map,3
movielens,6
knime,3
spacy,60
allennlp,6
tesseract,2
pytorch-geometric,9
stemming,4
pickle,16
multi-instance-learning,7
arima,40
causalimpact,10
automl,18
question-answering,22
doc2vec,19
networkx,7
time,15
sparsity,5
multi-output,29
corpus,18
wikipedia,6
siamese-networks,22
semantic-similarity,29
python-3.x,187
statsmodels,33
non-parametric,14
bayesian-nonparametric,4
huggingface,27
image-segmentation,74
adaboost,24
rmse,19
anova,11
gru,24
openai-gpt,21
one-hot-encoding,90
pruning,13
multivariate-distribution,30
auc,49
ann,13
least-squares-svm,3
categorical-encoding,60
groupby,20
c++,7
pearsons-correlation-coefficient,19
spearmans-rank-correlation,7
kendalls-tau-coefficient,3
predict,15
google-cloud,14
spyder,6
pattern-recognition,28
text-classification,172
3d-object-detection,6
encoder,13
linearly-separable,8
data-engineering,19
metaheuristics,3
spectral-clustering,8
sparse,21
f1score,39
natural-gradient-boosting,13
ngboost,2
linear-programming,3
cart,11
structural-equation-modelling,4
exploratory-factor-analysis,7
information-extraction,15
mlflow,2
shap,34
hashingvectorizer,4
naive-bayes-algorithim,12
bokeh,3
plotly,14
mxnet,2
tpu,1
cuda,12
isolation-forest,17
interpretation,35
elastic-net,8
functional-api,4
bagging,18
chi-square-test,15
target-encoding,11
bootstraping,12
confidence,16
labelling,13
gradient,28
graphviz,2
esl,4
gnn,4
graph-neural-network,33
knowledge-graph,8
early-stopping,11
estimation,7
fasttext,13
lime,8
derivation,13
field-aware-factorization-machines,3
hashing-trick,6
roc,27
windows,13
document-term-matrix,6
bag-of-words,20
imbalance,9
api,12
permutation-test,3
hypothesis-testing,24
semantic-segmentation,26
backbone-network,2
context-vector,4
grammar-inference,4
bart,3
pretraining,17
catboost,13
boruta,4
poisson,8
google-data-studio,6
google-bigquery,6
google-cloud-platform,5
document-understanding,5
cause-and-effect,4
loss,19
stacking,8
normal,5
mean,7
rfe,5
sgd,12
federated-learning,4
concept-drift,3
validation,32
mlops,5
goodness-of-fit,3
r-squared,4
partial-least-squares,6
entity-linking,4
dynamic-time-warping,9
object-detection-api,2
linear-models,9
pasting,3
time-complexity,4
memory,11
pvalue,4
data-table,18
logarithmic,4
wasserstein,3
cyclegan,3
masking,6
transformation,12
gradient-boosting-decision-trees,11
partial-dependence-plot,1
convolutional-neural-network,601
agglomerative,2
tensorboard,3
adversarial-ml,5
intuition,1
feature-interaction,2
feature-importances,18
perplexity,1
coherence,4
model-evaluations,13
xgbfi,1
rulefit,2
skope-rules,1
real-world-use-cases,1
inference,17
reward,2
sigmoid,5
oversampling,6
imbalanced-data,16
posthoc,1
tukey,1
day,1
torchvision,3
retinanet,1
data-quality,3
recurrent-neural-network,10
hessian,1
apollo,1
lag,1
multiple,1
binary-classification,18
rust,1
vowpalwabbit,1
counterfactual,1
contrastive,2
bathymetry,1
pymc3,1
clickstream,1
prolog,1
best-practice,1
data-management,1
automatic-differentiation,1
set,1
deep-fakes,1
rapidminer,2
one-class-classification,2
histogram,2
uncertainty,1
ethics,1
flask,2
sqlalchemy,1
rasa,1
rasa-nlu,1
