,items,support,count
1,{Fanatic},0.0014563522659127902,51
2,{Enlightened},0.0014849081926953938,52
3,{Good Answer},0.0015420200462606013,54
4,{Precognitive},0.0020560267283474686,72
5,{Stellar Question},0.0025985893372169394,91
6,{Informed},0.0027984808246951653,98
7,{Great Answer},0.0034552671406950512,121
8,{Necromancer},0.0037693823353036923,132
9,{Autobiographer},0.003969273822781918,139
10,{Civic Duty},0.004083497529912333,143
11,{Unsung Hero},0.004426168651303578,155
12,{Socratic},0.004483280504868786,157
13,{Inquisitive},0.004483280504868786,157
14,{Self-Learner},0.00751020874382478,263
15,{Caucus},0.01784745423912733,625
16,{Proofreader},0.021702504354778832,760
17,{Citizen Patrol},0.030754733144864214,1077
18,{Nice Answer},0.042633998686427366,1493
19,{Convention},0.04574659470573117,1602
20,{Altruist},0.05065821411233901,1774
21,{Editor},0.0574545246865987,2012
22,{Talkative},0.10694194580085097,3745
23,{Promoter},0.17113566920814413,5993
24,{Tenacious},0.17287758074188297,6054
25,{Copy Editor},0.22502070304691738,7880
