,LHS,RHS,support,confidence,coverage,lift,count
1,{},{Caucus},0.01784745423912733,0.01784745423912733,1.0,1.0,625
2,{},{Proofreader},0.021702504354778836,0.021702504354778836,1.0,1.0,760
3,{},{Citizen Patrol},0.030754733144864217,0.030754733144864217,1.0,1.0,1077
4,{},{Nice Answer},0.042633998686427366,0.042633998686427366,1.0,1.0,1493
5,{},{Convention},0.045746594705731176,0.045746594705731176,1.0,1.0,1602
6,{},{Altruist},0.05065821411233901,0.05065821411233901,1.0,1.0,1774
7,{},{Editor},0.0574545246865987,0.0574545246865987,1.0,1.0,2012
8,{},{Talkative},0.10694194580085097,0.10694194580085097,1.0,1.0,3745
9,{},{Promoter},0.17113566920814416,0.17113566920814416,1.0,1.0,5993
10,{},{Tenacious},0.17287758074188297,0.17287758074188297,1.0,1.0,6054
11,{},{Copy Editor},0.22502070304691738,0.22502070304691738,1.0,1.0,7880
