,LHS,RHS,support,confidence,coverage,lift,count
1,{},{constructor},0.010289919431580283,0.010289919431580283,1.0,1.0,811
2,{},{polkadot},0.010733997335532576,0.010733997335532576,1.0,1.0,846
3,{},{datadir},0.011241514940049484,0.011241514940049484,1.0,1.0000000000000002,886
4,{},{override},0.013677599441730635,0.013677599441730635,1.0,1.0,1078
5,{},{clone},0.01313201801687496,0.01313201801687496,1.0,1.0,1035
6,{},{meta-data},0.014172429106134619,0.014172429106134619,1.0,1.0,1117
7,{},{merkle-patricia-tries},0.012675252172809744,0.012675252172809744,1.0,1.0,999
8,{},{trust},0.015479286937765653,0.015479286937765653,1.0,1.0,1220
9,{},{address.transfer},0.01802956290046311,0.01802956290046311,1.0,1.0,1421
10,{},{events},0.016519698027025312,0.016519698027025312,1.0,1.0,1302
11,{},{rlp},0.02154412231174269,0.02154412231174269,1.0,1.0,1698
12,{},{message},0.022521093700437735,0.022521093700437735,1.0,1.0,1775
13,{},{uniswap},0.0240690223942143,0.0240690223942143,1.0,1.0,1897
14,{},{verify},0.024132462094778914,0.024132462094778914,1.0,1.0000000000000002,1902
15,{},{sparse-markle-trees},0.027799276787413563,0.027799276787413563,1.0,1.0,2191
16,{},{scheduling},0.028192602930914166,0.028192602930914166,1.0,1.0,2222
17,{},{fixed-point},0.029359893421303053,0.029359893421303053,1.0,1.0,2314
18,{},{solidity-0.7.x},0.03297595635348601,0.03297595635348601,1.0,1.0,2599
19,{},{public-key},0.04906426441667195,0.04906426441667195,1.0,0.9999999999999999,3867
20,{},{london},0.06058491403920573,0.06058491403920573,1.0,1.0,4775
21,{},{vulnerability},0.07134428725496415,0.07134428725496415,1.0,1.0,5623
22,{},{ssz},0.14225718454608893,0.14225718454608893,1.0,1.0,11212
23,{patent},{decentralized-exchange},0.0010277231491467361,0.5869565217391305,0.001750935735583328,181.4156010230179,81
24,{decentralized-exchange},{patent},0.0010277231491467361,0.3176470588235294,0.0032354247287952804,181.4156010230179,81
25,{erc-20},{ssz},0.001065786969485504,0.7304347826086957,0.0014591131129861067,5.134607330655043,84
26,{design-patterns},{ssz},0.0010911628497113494,0.7049180327868853,0.0015479286937765653,4.955236777925291,86
27,{gas-limit},{ssz},0.0010911628497113494,0.7350427350427351,0.0014844889932119519,5.166999033392184,86
28,{benchmark},{vulnerability},0.0012434181310664214,0.7777777777777778,0.001598680454228256,10.90175272195546,98
29,{vulnerability},{benchmark},0.0012434181310664214,0.017428418993419882,0.07134428725496417,10.901752721955459,98
30,{websocket},{ssz},0.001065786969485504,0.672,0.0015859925141153332,4.72383874420264,84
31,{javascript-vm},{py-solc-x},0.001256106071179344,0.7615384615384615,0.0016494322146799467,173.97290969899666,99
32,{py-solc-x},{javascript-vm},0.001256106071179344,0.28695652173913044,0.00437733933895832,173.97290969899666,99
33,{mixers},{ssz},0.0012687940112922668,0.746268656716418,0.0017001839751316374,5.24591189610279,100
34,{expanse},{override},0.00114191461016304,0.6382978723404256,0.001788999555922096,46.66739036039948,90
35,{override},{expanse},0.00114191461016304,0.08348794063079777,0.013677599441730635,46.66739036039948,90
36,{solc},{ssz},0.0010784749095984268,0.5782312925170068,0.0018651271965996323,4.06468955759257,85
37,{parity-signer},{ssz},0.0010023472689208908,0.5448275862068965,0.001839751316373787,3.8298774711823538,79
38,{reentrant-attacks},{vulnerability},0.0017382477954704053,0.8011695906432749,0.002169637759309776,11.22962498426991,137
39,{vulnerability},{reentrant-attacks},0.0017382477954704053,0.024364218388760447,0.07134428725496415,11.229624984269911,137
40,{golem},{ssz},0.0011165387299371947,0.5569620253164557,0.0020046945378417815,3.9151767771420314,88
41,{cryptokitties},{ssz},0.001218042250840576,0.5614035087719298,0.0021696377593097764,3.946398282541888,96
42,{password},{ssz},0.00171287191524456,0.7219251336898396,0.0023726448011165387,5.0747885668716295,135
43,{ssz},{password},0.00171287191524456,0.012040670709953622,0.14225718454608893,5.0747885668716295,135
44,{layer-2},{ssz},0.00152255281355072,0.7017543859649122,0.002169637759309776,4.93299785317736,120
45,{ssz},{layer-2},0.00152255281355072,0.010702818408847663,0.14225718454608893,4.93299785317736,120
46,{data-types},{rails},0.0011292266700501173,0.5329341317365269,0.0021188859988580853,64.81975863088637,89
