,items,support,count
1,{Fanatic},0.0011807642765135251,11
2,{Inquisitive},0.0012881064834693002,12
3,{Talkative},0.0017174753112924003,16
4,{Necromancer},0.0017174753112924003,16
5,{Enthusiast},0.0017174753112924003,16
6,{Pundit},0.0018248175182481753,17
7,{Reviewer},0.0023615285530270503,22
8,{Editor},0.0024688707599828255,23
9,{Nice Answer},0.0026835551738943753,25
10,{Notable Question},0.0031129240017174755,29
11,{Civic Duty},0.004615714899098326,43
12,{Strunk & White},0.004830399313009876,45
13,{Teacher},0.005581794761700301,52
14,{Great Answer},0.0060111635895234005,56
15,{Archaeologist},0.006655216831258051,62
16,{Beta},0.006977243452125376,65
17,{Organizer},0.009231429798196652,86
18,{Marshal},0.010948905109489052,102
19,{Self-Learner},0.011163589523400602,104
20,{Vox Populi},0.011270931730356377,105
21,{Student},0.024044654358093602,224
22,{Caucus},0.026406182911120655,246
23,{Commentator},0.032846715328467155,306
24,{Guru},0.038213825676255905,356
25,{Explainer},0.08437097466723917,786
26,{Generalist},0.09864748819235725,919
27,{Investor},0.10455130957492487,974
28,{Altruist},0.11979390296264492,1116
29,{Copy Editor},0.36689566337483903,3418
