,LHS,RHS,support,confidence,coverage,lift,count
1,{},{Marshal},0.010948905109489052,0.010948905109489052,1.0,1.0,102
2,{},{Self-Learner},0.0111635895234006,0.0111635895234006,1.0,1.0,104
3,{},{Vox Populi},0.011270931730356376,0.011270931730356376,1.0,1.0,105
4,{},{Student},0.024044654358093602,0.024044654358093602,1.0,1.0,224
5,{},{Caucus},0.02640618291112065,0.02640618291112065,1.0,1.0,246
6,{},{Commentator},0.032846715328467155,0.032846715328467155,1.0,1.0,306
7,{},{Guru},0.038213825676255905,0.038213825676255905,1.0,1.0,356
8,{},{Explainer},0.08437097466723915,0.08437097466723915,1.0,1.0,786
9,{},{Generalist},0.09864748819235723,0.09864748819235723,1.0,1.0,919
10,{},{Investor},0.10455130957492487,0.10455130957492487,1.0,1.0000000000000002,974
11,{},{Altruist},0.11979390296264492,0.11979390296264492,1.0,1.0,1116
12,{},{Copy Editor},0.366895663374839,0.366895663374839,1.0,1.0,3418
