,items,support,count
1,{kaushitaki-upanishad},0.0010413051023950017,33
2,{shivaratri},0.0010728598024675774,34
3,{ganapati},0.0010097504023224258,32
4,{quote},0.0012306333028304565,39
5,{mleccha},0.0010413051023950017,33
6,{bhima},0.0010097504023224258,32
7,{naraka},0.0011990786027578806,38
8,{ksetrajnas},0.0010728598024675774,34
9,{fasting},0.0010728598024675774,34
10,{ghosts},0.0012621880029030322,40
11,{bhairava},0.0010097504023224258,32
12,{vayupurana},0.0010728598024675774,34
13,{dhanvantari},0.0011990786027578806,38
14,{kali-yuga},0.0011044145025401533,35
15,{brahmavadini},0.001167523902685305,37
16,{kaulam},0.0011990786027578806,38
17,{arya},0.001135969202612729,36
18,{nava-durga},0.001167523902685305,37
19,{horoscopes},0.0011990786027578806,38
20,{bow},0.001167523902685305,37
21,{durvasa},0.0012306333028304565,39
22,{translation},0.0014199615032659113,45
23,{ram-setu},0.0011044145025401533,35
24,{janamejaya},0.0011044145025401533,35
25,{moon},0.0011044145025401533,35
26,{purusha},0.001135969202612729,36
27,{isvara},0.0012621880029030322,40
28,{yog-nidra},0.0011990786027578806,38
29,{alvars},0.001167523902685305,37
30,{shruti},0.0012306333028304565,39
31,{vashishta},0.0013252974030481838,42
32,{satyabhama},0.0013252974030481838,42
33,{research},0.001167523902685305,37
34,{life},0.001167523902685305,37
35,{hatha-yoga},0.001483070903411063,47
36,{ramanandi},0.0012621880029030322,40
37,{sanyasi},0.001167523902685305,37
38,{vaikhanasa},0.0013252974030481838,42
39,{book-recommendation},0.0012306333028304565,39
40,{bamakhepa},0.001167523902685305,37
41,{sannyasa},0.0014199615032659113,45
42,{madhwa},0.0011990786027578806,38
43,{birth},0.0013252974030481838,42
44,{harivamsa},0.001483070903411063,47
45,{tree},0.0013252974030481838,42
46,{vedanga},0.001483070903411063,47
47,{linga-purana},0.0013252974030481838,42
48,{history},0.0012621880029030322,40
49,{panchabhoota},0.0015146256034836388,48
50,{abhinavagupta},0.0012621880029030322,40
51,{celebrations},0.0011990786027578806,38
52,{shishya},0.0017355085039916693,55
53,{panini},0.001483070903411063,47
54,{japamala},0.001483070903411063,47
55,{hanuman},0.0015777350036287904,50
56,{supernatural},0.0012306333028304565,39
57,{cosmology},0.0015461803035562145,49
58,{varna},0.0017039538039190936,54
59,{aitareya-brahmana},0.0013884068031933354,44
60,{kapila},0.001483070903411063,47
61,{manvantara},0.001483070903411063,47
62,{destiny},0.0015146256034836388,48
63,{sahadeva},0.0017670632040642452,56
64,{trailanga-swami},0.0015146256034836388,48
65,{love},0.0014199615032659113,45
66,{alwar},0.0016092897037013661,51
67,{ancestry},0.0012621880029030322,40
68,{rishi},0.0016092897037013661,51
69,{ignorance},0.0016723991038465177,53
70,{nirguna},0.0013568521031207597,43
71,{jatayu},0.001798617904136821,57
72,{importance},0.001483070903411063,47
73,{markandeya},0.001798617904136821,57
74,{shaktism},0.0013884068031933354,44
75,{allowed},0.001798617904136821,57
76,{dhanurveda},0.0016723991038465177,53
77,{devi},0.0015777350036287904,50
78,{paramatma},0.0019563914044997,62
79,{kanada},0.001798617904136821,57
80,{bhagiratha},0.001640844403773942,52
81,{bhakti},0.0019248367044271241,61
82,{dhruva},0.001451516203338487,46
83,{vishwamitra},0.0020826102047900035,66
84,{gunas},0.0020195008046448516,64
85,{orphans},0.0017670632040642452,56
86,{kamadeva},0.0017670632040642452,56
87,{parents},0.001640844403773942,52
88,{bagalamukhi},0.001640844403773942,52
89,{cows},0.0017355085039916693,55
90,{kashmir},0.0022088290050803067,70
91,{tapasya},0.002271938405225458,72
92,{arjuna},0.0019879461045722757,63
93,{yagnopavitam},0.002145719604935155,68
94,{balarama},0.0020510555047174276,65
95,{neo-vedanta},0.0018617273042819725,59
96,{stava},0.0018301726042093968,58
97,{classification},0.0020826102047900035,66
98,{parashurama},0.002619040106023792,83
99,{etymology},0.0021772743050077308,69
100,{asuras},0.0018932820043545484,60
101,{ranganatha},0.002303493105298034,73
102,{untouchability},0.002240383705152882,71
103,{bharata},0.002271938405225458,72
104,{nama-japa},0.002240383705152882,71
105,{shukla-yajurveda},0.002303493105298034,73
106,{yamaloka},0.002303493105298034,73
107,{ayurveda},0.0025559307058786404,81
108,{jainism},0.0025559307058786404,81
109,{yamunacharya},0.002461266605660913,78
110,{name},0.0026505948060963676,84
111,{pandu},0.0024928213057334885,79
112,{dayananda-saraswati},0.00233504780537061,74
113,{viswamitra},0.0023666025054431853,75
114,{apaurusheyatva},0.0028399230065318227,90
115,{matangi},0.0026505948060963676,84
116,{samakhy},0.0025559307058786404,81
117,{ego},0.002776813606386671,88
118,{bijakshara},0.002619040106023792,83
119,{ashram},0.0025559307058786404,81
120,{linear},0.0033763529077656114,107
121,{shukra},0.0036918999084913696,117
122,{fiction},0.0027137042062415195,86
123,{narakasura},0.0027137042062415195,86
124,{pashupata-shaivism},0.002776813606386671,88
125,{swaminarayan},0.0035341264081284905,112
126,{shiv-sutras},0.0033132435076204596,105
127,{consciousness},0.003123915307185005,99
128,{maruts},0.003155470007257581,100
129,{sanatkumara},0.0036287905083462178,115
130,{night},0.0033132435076204596,105
131,{kubera},0.003123915307185005,99
132,{chandogya-upanishad},0.0035656811082010664,113
133,{governance},0.0030292512069672777,96
134,{jaimini},0.0033132435076204596,105
