,LHS,RHS,support,confidence,coverage,lift,count
1,{},{goddess},0.01009750402322426,0.01009750402322426,1.0,1.0,320
2,{},{trinity},0.011265027925909565,0.011265027925909565,1.0,1.0,357
3,{},{immortality},0.010760152724748352,0.010760152724748352,1.0,1.0,341
4,{},{life-span},0.01091792622511123,0.01091792622511123,1.0,1.0,346
5,{},{cycles},0.012022340727651383,0.012022340727651383,1.0,1.0,381
6,{},{vyuha},0.013347638130699568,0.013347638130699568,1.0,1.0,423
7,{},{obscurity},0.01151746552649017,0.01151746552649017,1.0,1.0,365
8,{},{non-attachment},0.010129058723296835,0.010129058723296835,1.0,1.0,321
9,{},{teaching},0.012211668928086838,0.012211668928086838,1.0,1.0,387
10,{},{yaska},0.013536966331135023,0.013536966331135023,1.0,1.0,429
11,{},{chakras},0.012148559527941687,0.012148559527941687,1.0,1.0,385
12,{},{chiranjivi},0.012968981729828659,0.012968981729828659,1.0,1.0,411
13,{},{mukti},0.014357388533021993,0.014357388533021993,1.0,1.0,455
14,{},{title},0.012148559527941687,0.012148559527941687,1.0,1.0,385
15,{},{brahmanas},0.015777350036287906,0.015777350036287906,1.0,1.0,500
16,{},{india},0.016976428639045787,0.016976428639045787,1.0,1.0,538
17,{},{prisoners},0.013978732132151084,0.013978732132151084,1.0,1.0,443
18,{},{nimbarkacharya},0.016660881638320028,0.016660881638320028,1.0,1.0,528
19,{},{kali},0.02085765674797261,0.02085765674797261,1.0,1.0,661
20,{},{kalki},0.01874349184311003,0.01874349184311003,1.0,1.0,594
21,{},{vanaras},0.026127291660092773,0.026127291660092773,1.0,1.0,828
22,{},{yoga-vashishtha},0.027073932662270046,0.027073932662270046,1.0,1.0,858
23,{},{appayya-dikshitar},0.029629863368148684,0.029629863368148684,1.0,1.0,939
24,{},{lalita-sahasranama},0.036256350383389604,0.036256350383389604,1.0,1.0,1149
25,{},{exaltation},0.034015966678236725,0.034015966678236725,1.0,1.0,1078
26,{},{priests},0.041305102395001736,0.041305102395001736,1.0,1.0,1309
27,{},{devtas},0.044618345902622196,0.044618345902622196,1.0,1.0,1414
28,{},{kumarila-bhatta},0.052223028620112966,0.052223028620112966,1.0,1.0,1655
29,{kali-yuga},{priests},0.0010413051023950017,0.9428571428571428,0.0011044145025401533,22.826650660264104,33
30,{priests},{kali-yuga},0.0010413051023950017,0.025210084033613446,0.041305102395001736,22.826650660264107,33
31,{life},{priests},0.0010413051023950017,0.8918918918918919,0.001167523902685305,21.592777651601182,33
32,{priests},{life},0.0010413051023950017,0.025210084033613446,0.041305102395001736,21.592777651601182,33
33,{sanyasi},{priests},0.0010728598024675776,0.918918918918919,0.001167523902685305,22.247104247104247,34
34,{priests},{sanyasi},0.0010728598024675776,0.025974025974025976,0.041305102395001736,22.24710424710425,34
