id,value
sects,100
rebirth,143
culture,209
rituals,429
charvaka,10
cremation,14
belief,455
christianity,20
teaching,29
history,594
om,38
islam,20
death,181
cows,51
animals,131
krishna,858
art,10
scripture,1655
customs,84
vishnu,1078
ramayana,828
avatars,346
vedic-gods,100
vedas,1414
asuras,116
shiva,1149
mahabharata,1309
vishnu-purana,81
gods,661
practice,315
worship,291
terminology,107
food,141
buddhism,71
temple,381
other-religions,151
marriage,235
karma,423
women,234
evil,22
samudra-manthan,30
symbols,16
tilak,25
sex,72
caste-system,270
gender,14
ganga,42
lokas,73
venkateshwara,57
bhagavata-purana,320
narasimha,42
yajna,128
bhagavad-gita,538
sacrifice,59
manu,37
cosmology,29
tradition,176
dress,9
numerology,8
life-span,18
pandavas,123
panchabhoota,15
agni,55
ganesha,164
prayer,81
brahma,215
brahman,298
durga,105
rama,411
sita,84
radha,47
mukti,27
india,99
goddess,149
dharma,385
brahma-sutras,142
vaishnavism,385
vishnu-sahasranama,38
bhishma,73
vali,24
sati-goddess,29
yamaloka,9
afterlife,40
prasad,12
vrata,40
astrology,259
fasting,47
festivals,113
hanuman,214
parashurama,71
ravana,140
conversion,22
samskara,33
symbolism,110
yama,28
shiva-lingam,109
naraka,36
gayatri-mantra,64
shani,34
ancestry,23
jiva,50
skanda-purana,57
eclipse,25
mind,45
guru,170
peepal-tree,6
translation-request,212
dvaita,81
moksha,250
yoga,283
meditation,117
surya,90
untouchability,15
vashishta,35
dasharatha,18
vamana,24
balarama,25
lakshmi,105
idols,68
horoscopes,18
color,4
earth,47
atma,246
ahimsa,22
superstitions,47
mantras,500
puranas,939
saraswati,78
sri-vaishnava,321
vadakalai,15
thenkalai,18
sankalpa,13
kurukshetra,47
adi-shankaracharya,257
rig-veda,341
bhavishya-purana,24
brahmins,141
swayamvar,4
calendar,42
vikramaditya,5
japamala,7
yajur-veda,86
shatapatha-brahmana,43
sama-veda,37
rishi,179
ayurveda,48
atharva-veda,49
yuga,161
narada,31
indra,206
arjuna,162
name,151
non-vegetarian,73
gita,66
philosophy,528
taittirya-upanishad,12
upanishads,365
shaivism,130
kumbh-mela,10
maya,69
sanskrit,191
advaita,387
plants,32
lakshmana,35
guru-geetha,3
sadhana,48
spiritual-level,32
creation,81
tamil,20
shiva-purana,147
puja,115
jyotirlinga,31
alwar,60
soma,13
weapon,105
darshan,11
chakras,38
navrathri,23
rudraksha,21
vyasa,106
navagraha,54
kauravas,45
isha-upanishad,6
life,116
ghosts,16
garuda-purana,42
kali-yuga,153
dream,40
brihadaranyaka-upanishad,31
sraddha,29
nakshatra,19
sanyasi,40
ashram,8
chandra,23
demi-god,21
kapila,12
vedanta,443
ramanujacharya,96
nature,11
time,141
sin,205
punyam,17
gandhari,14
vishishtadvaita,97
kamadeva,10
kundali,15
sai,18
varuna,11
kartikeya,56
karna,105
harivamsa,22
language,34
chandogya-upanishad,18
saint,47
siddhi,70
uddhava-gita,4
adisesha,16
gurukul,4
pancharatra,46
bhumi,8
gaudiya-vaishnavism,99
chaitanya,65
yashoda,7
vaikhanasa,11
samadhi,31
shakuni,12
parvati,88
linga-purana,15
brahmanda-purana,17
consciousness,47
valmiki,56
pralaya,13
gunas,61
tantra,180
shloka,129
aitareya-brahmana,11
dattatreya,28
brahma-purana,3
vishwamitra,29
nandi,15
kali,66
mandukya-upanishad,11
varaha,22
kaushitaki-upanishad,3
matsya-purana,22
tara,13
dattaopnishad,3
bhakti,121
padma-purana,52
kshatriya,52
agamas,110
ekadashi,20
panchang,39
narada-purana,8
vedic-rituals,86
human,53
identification-request,357
war,88
pranapratishtha,13
gayatri,12
kalki,39
madhvacharya,44
jnana,28
mahanarayana-upanishad,4
japa,36
ignorance,5
shaiva-siddhanta,39
pashupatastra,5
trinity,19
yagnopavitam,34
pitru,35
gandharva,13
brahma-vaivarta-purana,13
kubera,18
garuda,24
manu-smriti,144
agni-purana,6
bali,13
manvantara,24
santoshi,2
vivekananda,105
nyaya,28
ayyappa,15
atheism,26
shwetashawatara-upanishad,1
birth,34
funeral,7
brihaspati,19
bhagiratha,2
resource,112
itihasa,52
kumbhakarna,8
dharma-shastras,232
yogi,25
yoga-sutras,42
purusha,21
prakruti,11
ashwatthama,18
shakti,83
devi,155
mandodari,6
science,79
agastya,14
naga,30
vasuki,3
smriti,131
spirituality,62
sruti,27
classification,17
kaikeyi,3
parashara,12
book-recommendation,83
duryodhana,37
draupadi,37
dronacharya,35
asana,16
homosexuality,12
mathematics,17
vyuha,5
shukracharya,20
sahadeva,7
ramcharitmanas,21
daana,14
kanada,6
vaisheshika,17
shad-darshana,37
vaisheshika-sutra,8
love,13
narada-bhakti-sutra,3
akasha,5
taittirya-brahmana,8
poornima,6
amavasya,6
abhimanyu,13
yoga-vashishtha,29
ghatotkacha,8
rashi,8
numbers,11
health,19
body,50
nyaya-sutra,8
parents,18
indriyas,16
katha-upanishad,5
architecture,6
artha,7
kama,22
vastu-shastra,23
bhima,19
sindhu,5
vaikuntha,16
importance,3
janamejaya,2
jaimini,6
nath,9
yajnavalkya,10
sandhyavandanam,45
vayupurana,6
janaka,8
yudhisthira,53
rivers,37
subhadra,9
vidura,13
nayanar,15
ranganatha,6
homam,17
sudarsana,13
shaktism,75
kurma,3
kriyayoga,17
priests,14
tirupati,17
widow,7
satyanarayana,9
prayaschitta,38
shikhandi,5
kena-upanishad,5
stotra,117
sankhya,48
pilgrimage,23
brahmanas,40
research,8
kalidasa,4
celebrations,5
curse,63
prabhupada,24
manuscripts,38
men,20
hymn,21
leela,7
sugriva,11
children,27
interpolation,22
tulasi,22
jarasandha,4
etymology,56
vibhishana,12
shukra,2
aranyaka,10
brahmastra,17
vayu,12
sannyasa,37
purushartha,9
ashtavinayak,2
mangalasutra,3
swastika,6
statistics,2
indrajit,11
bramhacharya,5
samsara,13
ayodhya,7
divorce,3
gotra,33
vedanta-desika,20
purva-mimamsa,74
devi-bhagavata-purana,51
swarga,37
yadavas,16
brahmacharya,38
arya,12
desire,17
satyabhama,6
enlightenment,24
gaudapada,5
vedic-chanting,39
samhita,24
dashanami,3
varna,120
vitthal,5
ethics,19
sharanagati,19
trika,4
sri-vidya,38
pramana,40
yantra,18
upasana,12
pushti-marga,9
kashmiri-shaivism,57
ramakrishna,55
charaka-samhita,3
upapuranas,6
shukla-yajurveda,19
shudra,58
krishna-yajurveda,13
grihastha,4
shaligrama,6
mudra,14
lalita,16
kaulam,3
bhaskararaya,4
grihya-sutra,12
dasha-mahavidya,23
bagalamukhi,2
chinnamasta,5
universe,39
jagan-natha,10
achintya-bheda-abheda,15
durvasa,9
dhruva,3
yakshas,10
apsaras,15
astronomy,16
shatrughna,3
bhrigu,13
chandipath,7
nama-japa,5
initiation,47
pashupata-shaivism,10
indology,2
critical-edition,22
shikha,5
yami,2
nimbarkacharya,6
critique,4
vasu,7
ram-setu,4
bhairava,13
geography,44
suryavansh,15
kalki-purana,10
vishwedevas,3
ashwamedha,13
saptarshi,15
chandravansh,25
natya-shastra,5
abhinavagupta,8
rakshasa,57
pranayama,19
tvashtar,8
kalpa,26
madhwa,11
jainism,10
sikhism,5
boon,18
satyaki,3
sanatkumara,6
buddhi,10
vallabhacharya,5
appayya-dikshitar,3
iskcon,42
kailasa,8
chaitanya-charitamrita,9
vamachara,8
prahlada,13
dayananda-saraswati,11
sati,10
vishwaksena,7
punishment,26
varanasi,7
vedanga,8
reference-request,72
vishwakarma,10
harishchandra,4
matrika,3
markandeya,4
markandeya-purana,13
chiranjivi,9
shishya,4
ahalya,8
kings,28
governance,9
omens,19
vanaras,12
kundalini,32
horary-astrology,8
raja-yoga,14
nathamuni,3
matsya,4
nara-narayana,4
tapasya,17
adityas,7
kaivalya,2
swaminarayan,8
immortality,16
amrita,7
yaska,2
nava-durga,7
shiva-mahimna-stotra,5
nala,8
divya-prabhandham,9
neo-vedanta,19
destiny,12
recension,2
patanjali,10
varnashrama,31
hatha-yoga,11
brahmavadini,4
upanayanam,19
dvija,6
purusha-sukta,7
daitya,6
antaryami,2
mleccha,20
nityasuri,3
max-muller,3
translation,25
shivadvaita,5
daksha,6
trailanga-swami,5
bamakhepa,2
sathya-sai,1
krishna-prem,2
ramanandi,5
chaitanya-bhagavata,7
yamunacharya,6
varaha-purana,4
chamunda,4
genealogy,8
sayanacharya,3
manavala-mamunigal,2
goloka,3
vaishya,7
adultery,3
shivastotravali,2
shilpa-shastras,3
pandu,5
kumarila-bhatta,2
maruts,3
arya-samaj,5
bharata,7
bow,3
supernatural,7
garga,2
bijakshara,3
viswamitra,2
azwar,2
lotus,3
interpretation,11
shivaratri,5
feminism,3
nirguna,4
vritra,3
evidence,8
pinaka,2
ishwara,3
meaning,24
kakbhushundi,3
heaven,11
lalita-sahasranama,5
shraddha,9
kashi,4
nandikeshvara,2
taittiriya-aranyaka,4
ganesh,3
arthavada,3
conciousness,4
andal,2
bhuvaneshwari,2
stava,2
rudra,11
krita-yuga,2
yadavaprakasha,1
mahabharat,24
kashyapa,3
ashtavakra,3
kashmir,2
dhritarashtra,4
ashwini-kumaras,2
vahana,10
kunti,4
matangi,3
jatayu,4
shandilya,2
kavacha,5
rahu,6
durga-saptasati,6
bala-tripura-sundari,2
commentary,17
slavery,2
inner-meaning,2
ganapati,5
paramatma,7
jivatman,4
non-attachment,2
dhanvantari,3
ramana-maharshi,9
rudram,7
supernatural-races,9
demon,6
swami,2
lal-ded,2
dwapara-yuga,8
treta-yuga,5
parashara-smriti,12
garga-samhita,2
nirukta,4
panini,2
siddhasana,2
apaurusheyatva,7
puri-shankaracharya,2
dasha,2
vimshottari-dasha,1
brihat-parashara-hora-shastra,3
alvars,2
avastha,2
age,2
hanuman-chalisa,4
charity,4
hell,4
vedic,2
blood,2
truth,3
ramayan,3
contradiction,5
samkhya,4
kula-devata,1
maharshi,1
words,2
self,2
chekitana,1
brihannadiya,1
cycles,1
linear,1
kshama,1
prarthana,1
shunahshepa,1
story,11
allegory,1
kaisika,1
mahatmyam,1
duplication,1
argument,4
living,3
non-aryan,1
sheetala,1
disease,3
baby,1
schools,6
emptiness,1
silence,2
padmanabh,1
devatas,6
quote,1
sursari,1
family,3
mounts,1
obscurity,1
rajasic,2
tamasic,2
sattvik,4
aarti,2
song,1
deity,6
powers,1
goswami,1
title,4
nitai,1
jagajjanani,1
antyeshti,2
orphans,1
taratamya,2
yati,1
harihara,1
sankaranarayana,1
spiritual,2
source,4
non-hindu,2
woman,1
explanation,9
moon,3
sadhguru-jaggi-vasudev,4
knowledge,1
tattvavada,1
sudama,1
british-raj,1
mahopanishad,1
prisoners,1
pronunciation,1
devtas,2
syamantaka,1
shruti,1
gaya,1
fiction,1
allowed,2
mimamsa,4
palmistry,1
menstruation,9
navya-nyaya,1
eternal,1
exaltation,1
samakhy,1
yog-nidra,2
svayambhuva-manu,1
epics,3
polyandry,3
upaniads,2
isckon,3
akshar-purushottam,1
shiv-sutras,1
isvara,1
man,1
race,2
species,1
ego,2
night,1
sleep,2
purnima,1
brahmakumaris,4
tirtha,3
padmasana,2
iconography,2
free-will,3
ksetrajnas,1
renuka,1
banyan-tree,2
narakasura,1
kripa,3
chitra-gupta,1
oil,2
raavan,1
brahmo-samaj,1
telugu,5
saraswati-sahasranama,1
raghunandana,1
chandala,3
charts,2
amla,1
tree,1
future,1
alms,1
dhanurveda,1
udgeeth,1
