id,value
world-war-one,393
holy-roman-empire,56
language,223
weapons,214
china,299
cuba,27
proof,4
world-war-two,1419
germany,319
dday,8
american-civil-war,171
soviet-union,467
england,339
democracy,56
poland,101
church,27
crusades,64
richard-i,6
geography,62
civil-war,38
exploration,48
africa,121
colonization,166
japan,347
ireland,49
war,459
australia,56
aboriginals,13
europe,524
roman-republic,108
caesar,14
ancient-greece,276
government,131
food,130
age-of-discovery,53
franks,13
middle-ages,787
terminology,49
saladin,6
new-world,41
native-americans,132
technology,225
revolution,70
economy,444
trade,130
military,863
bible,63
norway,19
iceland,16
imperial-germany,54
denmark,16
german-unification,16
france,306
meiji-restoration,15
british-empire,247
dutch-empire,15
french-empire,27
italy,90
egypt,65
napoleon,47
philosophy-of-war,6
strategy,31
communism,125
latin-language,35
britain,162
byzantine-empire,105
nationalism,28
nation-states,16
confederacy,24
russia,349
early-modern,68
christianity,163
mercantilism,4
reformation,23
nobility,57
tradition,25
communication,58
roman-empire,321
industrial-revolution,58
cavalry,55
imperialism,32
united-states,1399
15th-century,60
vietnam-war,51
20th-century,596
18th-century,241
political-party,21
resource,45
19th-century,458
14th-century,26
12th-century,17
1st-century,14
diplomacy,84
13th-century,28
17th-century,125
16th-century,69
settlement,21
cold-war,190
alaska,14
border-dispute,13
canada,69
post-communist-era,6
contemporary-history,59
ancient-china,82
israel,95
jews,132
celts,32
ancient-history,679
sources,90
sengoku,11
espionage,32
sword,44
warfare,290
law,294
defense,24
sweden,44
animals,54
genocide,33
demography,57
social-history,248
united-kingdom,300
royalty,76
religion,322
qing-dynasty,19
berlin-wall,11
middle-east,153
medicine,85
nutrition,13
pope,22
catholic-church,123
sex,20
sociology,20
submarine,35
marriage,51
assimilation,3
transportation,108
spain,141
portugal,31
independence,49
literature,82
spanish-civil-war,13
education,100
media,23
hitler,127
naval,299
nazi-germany,485
kingdom,26
siege,33
american-revolution,106
aircraft,92
united-nations,28
social-class,51
taxes,38
civilizations,46
mao-zedong,21
ancient-egypt,182
pyramids,20
slavery,201
immigration,68
isolationism,2
1930s,38
political-history,429
mongolia,11
dictatorship,21
arabia,33
south-east-asia,31
nuclear,32
death,53
crowd-psychology,3
adaptability,3
construction,36
scotland,39
archaeology,120
switzerland,32
india,335
persia,68
capitalism,14
popular-culture,36
metallurgy,22
ancient-rome,495
tactics,66
gladiators,15
tanks,54
human-rights,16
monarchy,119
nazism,79
hebrew,13
research,22
methodology,13
vikings,72
racism,62
international-relations,106
cartography,19
california,100
election,70
architecture,109
tudor-period,20
drugs,25
president,69
arab-spring,4
sports,44
1920s,37
fashion,58
heraldry,47
vietnam,23
quotes,100
founding-fathers,20
police,20
philosophy,62
crime,73
syria,19
inventions,25
theoretical-history,16
north-africa,49
11th-century,14
fascism,34
maps,63
islam,130
currency,61
renaissance,64
palestine,43
movies,27
journalism,18
railroads,31
asia,59
old-west,27
protests,9
etymology,40
caribbean,18
ethnicity,40
1940s,31
mesopotamia,39
sumer,20
flood,5
mesoamerica,22
maya,25
north-america,82
bronze-age,42
anthropology,44
surname,9
time-keeping,45
calendar,84
photography,31
colony,25
us-congress,27
finance,37
great-depression,24
ussr,4
ethiopia,19
historiography,221
holocaust,76
agriculture,80
business-history,35
pakistan,44
iron-age,22
everyday-life,109
terrorism,18
political-economy,18
republic-of-ireland,5
carthage,31
nautical,11
turkey,57
stalin,59
mongol-empire,71
music,48
olympics,14
iraq,28
21st-century,17
yugoslavia,32
iran,50
disease,56
americas,45
art,158
mathematics,54
age-of-sail,89
science,154
korea,33
gun-politics,8
argentina,19
emigration,7
ottoman-empire,103
treaties,37
spanish-empire,97
collapse,8
classical-greece,21
alexander-the-great,40
buddhism,22
mexico,82
constitution,56
john-f-kennedy,11
norse-mythology,9
zoroastrianism,7
infantry,23
napoleonic-wars,87
game,22
automobiles,15
indonesia,28
libya,10
hungary,39
bohemia,8
prehistory,69
paleolithic,16
ukraine,27
disasters,22
morals,10
persona,14
aztec,22
chemicals,9
republic,10
inca,18
south-america,30
samurai,26
roman-kingdom,9
austria,58
indus-valley,17
script,10
greco-persian-wars,17
greek-dark-ages,3
greek-mythology,23
macedon,17
hellenistic-greece,22
classical-antiquity,76
banking,28
rulers,20
romania,21
hinduism,19
customs,13
historical-research,59
historical-criticism,4
individuals,19
cities,43
consumer-goods,13
christopher-columbus,22
jefferson,12
athens,20
4th-century,4
1970s,26
assassination,32
churchill,22
chess,2
greek,35
norman,13
biography,17
christmas,14
feudalism,39
war-elephants,6
microstate,4
punic-wars,15
venice,9
loot,3
travel,88
lenin,22
thailand,9
malaysia,8
phoenicia,7
human-sacrifice,9
french-revolution,75
north-korea,12
famine,17
forgery,5
money,85
mycenae,6
homer,5
given-name,8
sparta,18
bulgaria,18
stalingrad,14
clothing,82
armour,38
prisoners-of-war,30
history-of-ideas,25
ancient-iran,8
computers,20
book,94
finland,17
kazakhstan,4
needham,11
korean-war,22
czech-republic,4
kgb,4
cultural-history,263
socialism,20
astronomy,32
belgium,24
prussia,19
