,items,support,count
1,{Editor},0.0011103400416377516,16
2,{Scholar},0.0012491325468424706,18
3,{Talkative},0.0013879250520471896,20
4,{Tenacious},0.0013879250520471896,20
5,{Teacher},0.001873698820263706,27
6,{Yearling},0.0022206800832755033,32
7,{Commentator},0.002359472588480222,34
8,{Good Answer},0.00263705759888966,38
9,{Enthusiast},0.0029840388619014574,43
10,{Strunk & White},0.004788341429562804,69
11,{Taxonomist},0.0049965301873698825,72
12,{Socratic},0.005829285218598196,84
13,{Nice Answer},0.006939625260235948,100
14,{Steward},0.009923664122137405,143
15,{Caucus},0.012560721721027065,181
16,{Announcer},0.012977099236641223,187
17,{Tag Editor},0.015336571825121445,221
18,{Inquisitive},0.02269257460097155,327
19,{Organizer},0.05253296321998612,757
20,{Mortarboard},0.05947258848022207,857
21,{Deputy},0.06238723108952117,899
22,{Excavator},0.07869535045107565,1134
23,{Tumbleweed},0.08244274809160305,1188
24,{Favorite Question},0.10666204024982652,1537
25,{Revival},0.1392088827203331,2006
26,{Constable},0.2976405274115198,4289
