,LHS,RHS,support,confidence,coverage,lift,count
1,{},{Caucus},0.012560721721027065,0.012560721721027065,1.0,1.0,181
2,{},{Announcer},0.012977099236641221,0.012977099236641221,1.0,1.0,187
3,{},{Tag Editor},0.015336571825121444,0.015336571825121444,1.0,1.0,221
4,{},{Inquisitive},0.022692574600971547,0.022692574600971547,1.0,1.0,327
5,{},{Organizer},0.05253296321998612,0.05253296321998612,1.0,1.0,757
6,{},{Mortarboard},0.05947258848022207,0.05947258848022207,1.0,1.0,857
7,{},{Deputy},0.06238723108952116,0.06238723108952116,1.0,1.0,899
8,{},{Excavator},0.07869535045107565,0.07869535045107565,1.0,1.0,1134
9,{},{Tumbleweed},0.08244274809160305,0.08244274809160305,1.0,1.0,1188
10,{},{Favorite Question},0.1066620402498265,0.1066620402498265,1.0,1.0,1537
11,{},{Revival},0.1392088827203331,0.1392088827203331,1.0,1.0,2006
12,{},{Constable},0.29764052741151975,0.29764052741151975,1.0,1.0,4289
