,LHS,RHS,support,confidence,coverage,lift,count
1,{},{uloom-al-quran},0.011213432879179619,0.011213432879179619,1.0,1.0,386
2,{},{deeds},0.010458123928768557,0.010458123928768557,1.0,1.0,360
3,{},{quran-only},0.011242483223426197,0.011242483223426197,1.0,1.0,387
4,{},{sahih-bukhari},0.011416785288905674,0.011416785288905674,1.0,1.0,393
5,{},{thinking},0.011184382534933038,0.011184382534933038,1.0,1.0,385
6,{},{surat-al-asr},0.01324695697644017,0.01324695697644017,1.0,1.0,456
7,{},{ayah},0.01417656799233071,0.01417656799233071,1.0,1.0000000000000002,488
8,{},{adam-and-eve},0.015570984516166517,0.015570984516166517,1.0,1.0,536
9,{},{cosmetics},0.01635534381082416,0.01635534381082416,1.0,1.0,563
10,{},{martyr},0.01841791825233129,0.01841791825233129,1.0,1.0,634
11,{},{tradition},0.022049211283153704,0.022049211283153704,1.0,1.0,759
12,{},{surat-fussilat},0.024227987101647155,0.024227987101647155,1.0,1.0,834
13,{},{taraweeh},0.025012346396304796,0.025012346396304796,1.0,1.0,861
14,{},{khatam-an-nabiyyin},0.036603433750689945,0.036603433750689945,1.0,1.0,1260
15,{},{imam-mahdi},0.041716294338087906,0.041716294338087906,1.0,1.0,1436
16,{},{judaism},0.040031374371786305,0.040031374371786305,1.0,1.0,1378
17,{},{laylat-al-qadr},0.059059349853295764,0.059059349853295764,1.0,1.0,2033
18,{jews},{khatam-an-nabiyyin},0.0010458123928768555,0.6792452830188679,0.0015396682450687042,18.55687331536388,36
19,{khatam-an-nabiyyin},{jews},0.0010458123928768555,0.02857142857142857,0.036603433750689945,18.55687331536388,36
20,{bay-al-dayn},{khatam-an-nabiyyin},0.001365366179589228,0.9038461538461539,0.0015106179008221247,24.692933455433455,47
21,{khatam-an-nabiyyin},{bay-al-dayn},0.001365366179589228,0.0373015873015873,0.036603433750689945,24.692933455433455,47
22,{death},{intercourse},0.0011910641141097522,0.8723404255319149,0.001365366179589228,178.7415146909828,41
23,{intercourse},{death},0.0011910641141097522,0.24404761904761904,0.0048804578334253265,178.7415146909828,41
24,{laughter},{laylat-al-qadr},0.0011329634256165935,0.6610169491525424,0.0017139703105481798,11.19241831809049,39
25,{laylat-al-qadr},{laughter},0.0011329634256165935,0.019183472700442697,0.05905934985329575,11.19241831809049,39
26,{greetings},{laylat-al-qadr},0.0014234668680823868,0.6621621621621622,0.00214972547424687,11.211809202217466,49
27,{laylat-al-qadr},{greetings},0.0014234668680823868,0.024102311854402363,0.05905934985329576,11.211809202217466,49
28,{tawakkul},{imam-mahdi},0.0012782151468494901,0.7213114754098361,0.0017720709990413385,17.290880862139826,44
29,{imam-mahdi},{tawakkul},0.0012782151468494901,0.03064066852367688,0.041716294338087906,17.290880862139822,44
30,{surat-maryam},{khatam-an-nabiyyin},0.0017430206547947593,0.6976744186046512,0.0024983296052058217,19.060354374307863,60
31,{khatam-an-nabiyyin},{surat-maryam},0.0017430206547947593,0.047619047619047616,0.036603433750689945,19.060354374307863,60
32,{islamic-countries},{laylat-al-qadr},0.0014234668680823868,0.6805555555555556,0.002091624785753711,11.523248346723507,49
33,{laylat-al-qadr},{islamic-countries},0.0014234668680823868,0.024102311854402363,0.05905934985329576,11.523248346723507,49
34,{evolution},{laylat-al-qadr},0.0013363158353426488,0.5476190476190477,0.002440228916712663,9.272351439346028,46
35,{laylat-al-qadr},{evolution},0.0013363158353426488,0.02262666010821446,0.059059349853295764,9.272351439346028,46
36,{husband},{laylat-al-qadr},0.001365366179589228,0.5164835164835165,0.002643581326438718,8.745160889282877,47
37,{laylat-al-qadr},{husband},0.001365366179589228,0.023118544023610427,0.05905934985329576,8.745160889282877,47
38,{digital-files},{cosmetics},0.0010167620486302763,0.36082474226804123,0.0028178833919181943,22.0615810001648,35
39,{cosmetics},{digital-files},0.0010167620486302763,0.06216696269982238,0.01635534381082416,22.0615810001648,35
40,{digital-files},{imam-mahdi},0.0016849199663016006,0.5979381443298969,0.0028178833919181943,14.333443413835683,58
41,{imam-mahdi},{digital-files},0.0016849199663016006,0.0403899721448468,0.041716294338087906,14.333443413835685,58
42,{rent},{sick},0.001074862737123435,0.37755102040816324,0.002846933736164774,51.98575510204081,37
43,{sick},{rent},0.001074862737123435,0.148,0.007262586061644831,51.98575510204081,37
44,{game},{imam-mahdi},0.0012491648026029109,0.35537190082644626,0.0035150916538360982,8.518779207624485,43
45,{imam-mahdi},{game},0.0012491648026029109,0.029944289693593314,0.041716294338087906,8.518779207624485,43
46,{polygamy},{kaffarah},0.0012201144583563316,0.328125,0.0037184440635621534,47.86036811440678,42
47,{kaffarah},{polygamy},0.0012201144583563316,0.17796610169491525,0.006855881242192721,47.86036811440678,42
48,{sahifa},{laylat-al-qadr},0.0024402289167126633,0.631578947368421,0.0038636957847950505,10.69397053874233,84
49,{laylat-al-qadr},{sahifa},0.0024402289167126633,0.04131824889326119,0.05905934985329577,10.693970538742331,84
50,{love},{surat-fussilat},0.0012782151468494901,0.36065573770491804,0.003544141998082677,14.885914219444118,44
51,{surat-fussilat},{love},0.0012782151468494901,0.05275779376498801,0.024227987101647155,14.885914219444118,44
52,{depiction},{laylat-al-qadr},0.0013944165238358075,0.3057324840764331,0.004560904046712954,5.1766991142956496,48
53,{laylat-al-qadr},{depiction},0.0013944165238358075,0.023610427939006393,0.059059349853295764,5.1766991142956496,48
54,{menses},{thinking},0.0014234668680823868,0.34265734265734266,0.004154199227260843,30.637126509853786,49
55,{thinking},{menses},0.0014234668680823868,0.12727272727272726,0.01118438253493304,30.637126509853783,49
56,{akhirah},{laylat-al-qadr},0.0021206751300002903,0.5069444444444444,0.004183249571507422,8.583644176640979,73
57,{laylat-al-qadr},{akhirah},0.0021206751300002903,0.03590752582390556,0.05905934985329576,8.58364417664098,73
58,{blood},{tradition},0.002091624785753711,0.391304347826087,0.005345263341370594,17.746863722289053,72
59,{tradition},{blood},0.002091624785753711,0.09486166007905138,0.022049211283153704,17.746863722289053,72
60,{qadar},{theology},0.0010167620486302763,0.23026315789473684,0.004415652325480057,48.33139441591784,35
61,{theology},{qadar},0.0010167620486302763,0.21341463414634146,0.004764256456439009,48.33139441591784,35
62,{qadar},{quran-only},0.0013944165238358075,0.3157894736842105,0.004415652325480058,28.08894328845369,48
63,{quran-only},{qadar},0.0013944165238358075,0.12403100775193798,0.011242483223426199,28.08894328845369,48
64,{lying},{khatam-an-nabiyyin},0.0010167620486302763,0.19021739130434784,0.005345263341370595,5.196708937198069,35
65,{khatam-an-nabiyyin},{lying},0.0010167620486302763,0.027777777777777776,0.036603433750689945,5.196708937198067,35
66,{surat-al-isra},{surat-al-asr},0.0010167620486302763,0.19662921348314608,0.005170961275891119,14.843349595899863,35
67,{surat-al-asr},{surat-al-isra},0.0010167620486302763,0.07675438596491228,0.01324695697644017,14.843349595899863,35
68,{intercourse},{ayah},0.001074862737123435,0.22023809523809523,0.0048804578334253265,15.53536055815769,37
69,{ayah},{intercourse},0.001074862737123435,0.07581967213114754,0.01417656799233071,15.53536055815769,37
70,{intercourse},{judaism},0.0031083868343839876,0.6369047619047619,0.0048804578334253265,15.910139781602044,107
71,{judaism},{intercourse},0.0031083868343839876,0.07764876632801161,0.040031374371786305,15.910139781602046,107
72,{theology},{quran-only},0.001626819277808442,0.34146341463414637,0.004764256456439009,30.37259721434424,56
73,{quran-only},{theology},0.001626819277808442,0.14470284237726097,0.011242483223426199,30.372597214344236,56
74,{ibn-taymiyyah},{khatam-an-nabiyyin},0.0016558696220550213,0.2638888888888889,0.006274874357261134,7.209402557319224,57
75,{khatam-an-nabiyyin},{ibn-taymiyyah},0.0016558696220550213,0.04523809523809524,0.036603433750689945,7.209402557319224,57
76,{muslim-practices},{freedom},0.0011329634256165935,0.2154696132596685,0.005258112308630857,26.20887101497374,39
77,{freedom},{muslim-practices},0.0011329634256165935,0.13780918727915195,0.008221247421781947,26.20887101497374,39
78,{muslim-practices},{tradition},0.00171397031054818,0.3259668508287293,0.0052581123086308575,14.7836059368608,59
79,{tradition},{muslim-practices},0.00171397031054818,0.077733860342556,0.022049211283153704,14.783605936860802,59
80,{money},{laylat-al-qadr},0.003515091653836098,0.5707547169811321,0.006158672980274816,9.664087369720368,121
81,{laylat-al-qadr},{money},0.003515091653836098,0.059517953762911954,0.05905934985329576,9.664087369720368,121
82,{eid-ul-adha},{imam-mahdi},0.0010458123928768555,0.1925133689839572,0.005432414374110333,4.614824303993565,36
83,{imam-mahdi},{eid-ul-adha},0.0010458123928768555,0.025069637883008356,0.041716294338087906,4.614824303993565,36
84,{eid-ul-adha},{judaism},0.0023821282282195043,0.4385026737967914,0.005432414374110333,10.953974992820719,82
85,{judaism},{eid-ul-adha},0.0023821282282195043,0.059506531204644414,0.040031374371786305,10.95397499282072,82
86,{kaffarah},{laylat-al-qadr},0.0012491648026029109,0.18220338983050846,0.006855881242192721,3.085089664601866,43
