,items,support,count
1,{Marshal},0.001206333249560191,24
2,{Quorum},0.0013068610203568736,26
3,{Research Assistant},0.0015079165619502387,30
4,{Organizer},0.00155818044734858,31
5,{Taxonomist},0.0016084443327469213,32
6,{Pundit},0.001759235988941945,35
7,{Enthusiast},0.002111083186730334,42
8,{Inquisitive},0.002312138728323699,46
9,{Notable Question},0.0030660970092988185,61
10,{Good Question},0.003317416436290525,66
11,{Deputy},0.003468208092485549,69
12,{Peer Pressure},0.003820055290273938,76
13,{Lifeboat},0.0042724302588590096,85
14,{Great Answer},0.004473485800452375,89
15,{Convention},0.005277707966825835,105
16,{Publicist},0.007539582809751194,150
17,{Precognitive},0.0077909022367429,155
18,{Supporter},0.00819301331992963,163
19,{Student},0.00894697160090475,178
20,{Socratic},0.011158582558431766,222
21,{Editor},0.014375471223925608,286
22,{Talkative},0.018597637597386276,370
23,{Teacher},0.02297059562704197,457
24,{Booster},0.03166624780095501,630
25,{Curious},0.046192510681075646,919
26,{Caucus},0.05036441316913797,1002
27,{Favorite Question},0.0513696908771048,1022
28,{Announcer},0.057250565468710726,1139
29,{Investor},0.3005277707966826,5979
30,{Constable},0.31319426991706456,6231
