,LHS,RHS,support,confidence,coverage,lift,count
1,{},{Socratic},0.011158582558431766,0.011158582558431766,1.0,1.0,222
2,{},{Editor},0.01437547122392561,0.01437547122392561,1.0,1.0,286
3,{},{Talkative},0.01859763759738628,0.01859763759738628,1.0,1.0000000000000002,370
4,{},{Teacher},0.02297059562704197,0.02297059562704197,1.0,1.0,457
5,{},{Booster},0.03166624780095501,0.03166624780095501,1.0,1.0,630
6,{},{Curious},0.046192510681075646,0.046192510681075646,1.0,1.0,919
7,{},{Caucus},0.05036441316913797,0.05036441316913797,1.0,0.9999999999999999,1002
8,{},{Favorite Question},0.0513696908771048,0.0513696908771048,1.0,1.0,1022
9,{},{Announcer},0.05725056546871073,0.05725056546871073,1.0,1.0,1139
10,{},{Investor},0.3005277707966826,0.3005277707966826,1.0,1.0,5979
11,{},{Constable},0.3131942699170646,0.3131942699170646,1.0,1.0000000000000002,6231
