,items,support,count
1,{identify-this-object},0.0010082581140772038,42
2,{antimatter},0.0010082581140772038,42
3,{space-shuttle},0.0010322642596504706,43
4,{sentinel-spacecraft},0.0010082581140772038,42
5,{livery},0.001080276550797004,45
6,{energy},0.001080276550797004,45
7,{lifetime},0.0010082581140772038,42
8,{spectroscopy},0.0012243134242366045,51
9,{co2-deposit},0.0011763011330900711,49
10,{scientific-data},0.0011522949875168043,48
11,{reaction-wheel},0.0010322642596504706,43
12,{lava-tubes},0.0010562704052237372,44
13,{model-rocketry},0.0010322642596504706,43
14,{chilling},0.0011522949875168043,48
15,{arrays},0.0010322642596504706,43
16,{robert-goddard},0.0016324178989821393,68
17,{liability},0.0012963318609564049,54
18,{interstellar-travel},0.001080276550797004,45
19,{scout-rocket-family},0.0011522949875168043,48
20,{physics},0.0011042826963702707,46
21,{pyrotechnic-fasteners},0.0010562704052237372,44
22,{frames},0.0011522949875168043,48
23,{us-segment},0.0011522949875168043,48
24,{caves},0.0011042826963702707,46
25,{tel},0.0011282888419435375,47
26,{wet-workshop},0.0012483195698098713,52
27,{x-ray-communication},0.0010562704052237372,44
28,{titania},0.0011042826963702707,46
29,{propellant-ratio},0.0012003072786633377,50
30,{tesla-roadster},0.0011042826963702707,46
31,{interstellar-technologies},0.0011042826963702707,46
32,{retrograde-orbit},0.0012243134242366045,51
33,{progress},0.0010322642596504706,43
34,{magnetorquer},0.0012243134242366045,51
35,{ils},0.0012963318609564049,54
36,{free-return},0.0011042826963702707,46
37,{new-horizons},0.0012243134242366045,51
38,{star-tracker},0.0012003072786633377,50
39,{ofeq-spacecraft},0.001272325715383138,53
40,{thermal},0.001272325715383138,53
41,{eclss},0.0012003072786633377,50
42,{rs-68},0.0011763011330900711,49
43,{delta-iv-heavy},0.0012243134242366045,51
44,{altitude},0.0013923564432494718,58
45,{celestial-mechanics},0.0012003072786633377,50
46,{specifications},0.0011522949875168043,48
47,{delta-v},0.0014403687343960054,60
48,{kurs},0.0012483195698098713,52
49,{hypergravity},0.0012963318609564049,54
50,{experiment},0.0012963318609564049,54
51,{smallsat-launcher},0.0014163625888227386,59
52,{space-tug},0.0013443441521029382,56
53,{grand-tour},0.0014163625888227386,59
54,{electromagnetism},0.0012483195698098713,52
55,{regolith},0.0011763011330900711,49
56,{mascot},0.0013443441521029382,56
57,{launchpad},0.0015363933166890724,64
58,{jpl},0.001368350297676205,57
59,{solar-power},0.0012483195698098713,52
60,{throttleback},0.0013923564432494718,58
61,{mapping},0.0014403687343960054,60
62,{mass-properties},0.0012243134242366045,51
63,{thermosphere},0.0013923564432494718,58
64,{mars-3},0.0012243134242366045,51
