,LHS,RHS,support,confidence,coverage,lift,count
1,{},{ionospheric-connection-explorer},0.01169099289418091,0.01169099289418091,1.0,1.0,487
2,{},{vertical-landing},0.012555214134818514,0.012555214134818514,1.0,1.0,523
3,{},{solar-eclipse},0.012339158824659113,0.012339158824659113,1.0,1.0,514
4,{},{spacecraft-nutation},0.013155367774150183,0.013155367774150183,1.0,1.0,548
5,{},{space-gun},0.012483195698098713,0.012483195698098713,1.0,1.0,520
6,{},{terminology},0.014379681198386786,0.014379681198386786,1.0,1.0,599
7,{},{propulsion},0.016180142116381795,0.016180142116381795,1.0,1.0,674
8,{},{mir},0.014403687343960053,0.014403687343960053,1.0,1.0,600
9,{},{zvezda},0.01774054157864413,0.01774054157864413,1.0,0.9999999999999999,739
10,{},{momentum},0.017644516996351067,0.017644516996351067,1.0,1.0,735
11,{},{droneship},0.01716439408488573,0.01716439408488573,1.0,1.0,715
12,{},{x-37},0.022973881313616287,0.022973881313616287,1.0,1.0000000000000002,957
13,{},{center-of-gravity},0.024894372959477627,0.024894372959477627,1.0,1.0,1037
14,{},{low-energy-transfer},0.025566545035529097,0.025566545035529097,1.0,1.0,1065
15,{},{mariner},0.030151718840023045,0.030151718840023045,1.0,1.0,1256
16,{},{trivia},0.03108795851738045,0.03108795851738045,1.0,1.0,1295
17,{},{schiaparelli-lander},0.035096984828116,0.035096984828116,1.0,1.0,1462
18,{in-space-repairs},{trivia},0.0010322642596504706,0.7413793103448276,0.0013923564432494718,23.847796565037946,43
19,{trivia},{in-space-repairs},0.0010322642596504706,0.033204633204633204,0.031087958517380453,23.847796565037946,43
20,{feasibility},{mariner},0.0010082581140772038,0.6774193548387096,0.001488381025542539,22.467022806657077,42
21,{mariner},{feasibility},0.0010082581140772038,0.03343949044585987,0.03015171884002305,22.467022806657077,42
22,{physical-activity},{schiaparelli-lander},0.0010082581140772038,0.5675675675675675,0.00177645477242174,16.17140533146005,42
23,{schiaparelli-lander},{physical-activity},0.0010082581140772038,0.028727770177838577,0.035096984828116,16.17140533146005,42
24,{magnitude},{trivia},0.001080276550797004,0.6081081081081081,0.0017764547724217399,19.56088907440259,45
25,{trivia},{magnitude},0.001080276550797004,0.03474903474903475,0.031087958517380446,19.56088907440259,45
26,{solar-system},{propulsion},0.0010322642596504706,0.524390243902439,0.001968503937007874,32.409495548961424,43
27,{propulsion},{solar-system},0.0010322642596504706,0.06379821958456973,0.016180142116381795,32.40949554896142,43
28,{rate-gyros},{trivia},0.0014403687343960054,0.6976744186046512,0.002064528519300941,22.441950255903745,60
29,{trivia},{rate-gyros},0.0014403687343960054,0.04633204633204633,0.031087958517380453,22.441950255903745,60
30,{radiators},{mariner},0.0013203380065296717,0.625,0.0021125408104474747,20.728503184713375,55
31,{mariner},{radiators},0.0013203380065296717,0.04378980891719745,0.03015171884002305,20.728503184713375,55
32,{ntr},{low-energy-transfer},0.0010082581140772038,0.42424242424242425,0.002376608411753409,16.59365485844359,42
33,{low-energy-transfer},{ntr},0.0010082581140772038,0.03943661971830986,0.025566545035529093,16.593654858443593,42
34,{imu},{mariner},0.0014403687343960054,0.5607476635514018,0.002568657576339543,18.597535567593308,60
35,{mariner},{imu},0.0014403687343960054,0.04777070063694268,0.030151718840023045,18.59753556759331,60
36,{testing},{trivia},0.0017284424812752065,0.7578947368421053,0.0022805838294603416,24.379044909571228,72
37,{trivia},{testing},0.0017284424812752065,0.055598455598455596,0.031087958517380453,24.379044909571224,72
38,{olympus-mons},{schiaparelli-lander},0.0013443441521029385,0.45901639344262296,0.0029287497599385444,13.078513601399386,56
39,{schiaparelli-lander},{olympus-mons},0.0013443441521029385,0.038303693570451436,0.035096984828116004,13.078513601399386,56
40,{rassvet},{schiaparelli-lander},0.0011522949875168043,0.375,0.0030727866333781447,10.684678522571819,48
41,{schiaparelli-lander},{rassvet},0.0011522949875168043,0.03283173734610123,0.035096984828116,10.684678522571819,48
42,{standards},{trivia},0.002040522373727674,0.6967213114754098,0.002928749759938544,22.411291853914804,85
43,{trivia},{standards},0.002040522373727674,0.06563706563706563,0.03108795851738045,22.4112918539148,85
44,{n-1},{solar-eclipse},0.0015363933166890724,0.4740740740740741,0.003240829652391012,38.42029110822885,64
45,{solar-eclipse},{n-1},0.0015363933166890724,0.1245136186770428,0.012339158824659113,38.42029110822885,64
46,{icy-moon},{mariner},0.0011042826963702707,0.359375,0.0030727866333781447,11.918889331210192,46
47,{mariner},{icy-moon},0.0011042826963702707,0.03662420382165605,0.030151718840023045,11.91888933121019,46
48,{aerobraking},{outer-planets},0.001080276550797004,0.3,0.0036009218359900133,59.22654028436018,45
49,{outer-planets},{aerobraking},0.001080276550797004,0.2132701421800948,0.005065296715959285,59.22654028436018,45
50,{planetary-resources},{propulsion},0.001272325715383138,0.3581081081081081,0.0035529095448434797,22.132568770550968,53
51,{propulsion},{planetary-resources},0.001272325715383138,0.07863501483679525,0.016180142116381795,22.132568770550964,53
52,{g-force},{low-energy-transfer},0.0013923564432494718,0.3790849673202614,0.003672940272709814,14.827383472950995,58
53,{low-energy-transfer},{g-force},0.0013923564432494718,0.054460093896713614,0.025566545035529097,14.827383472950997,58
54,{long-march},{vertical-landing},0.0010562704052237374,0.2634730538922156,0.004009026310735548,20.98515015857387,44
55,{vertical-landing},{long-march},0.0010562704052237374,0.0841300191204589,0.012555214134818514,20.985150158573866,44
56,{long-march},{schiaparelli-lander},0.0023285961206068752,0.5808383233532934,0.004009026310735548,16.549522022985492,97
57,{schiaparelli-lander},{long-march},0.0023285961206068752,0.06634746922024624,0.03509698482811599,16.549522022985496,97
58,{proton-m},{propulsion},0.001584405607835606,0.45517241379310347,0.0034808911081236796,28.131546096388007,66
59,{propulsion},{proton-m},0.001584405607835606,0.09792284866468842,0.016180142116381795,28.131546096388007,66
60,{proton-m},{momentum},0.0011282888419435375,0.32413793103448274,0.00348089110812368,18.370462115880834,47
61,{momentum},{proton-m},0.0011282888419435375,0.06394557823129252,0.017644516996351067,18.370462115880837,47
62,{travel},{schiaparelli-lander},0.001584405607835606,0.44594594594594594,0.00355290954484348,12.706104189004325,66
63,{schiaparelli-lander},{travel},0.001584405607835606,0.04514363885088919,0.035096984828116,12.706104189004325,66
64,{earth-observation},{reboost},0.0013443441521029385,0.3835616438356164,0.003504897253696947,68.28052921203606,56
65,{reboost},{earth-observation},0.0013443441521029385,0.23931623931623933,0.005617438064144421,68.28052921203607,56
66,{earth-observation},{mariner},0.0022325715383138085,0.636986301369863,0.0035048972536969466,21.1260361225024,93
67,{mariner},{earth-observation},0.0022325715383138085,0.07404458598726114,0.03015171884002305,21.1260361225024,93
68,{reconnaissance-satellite},{mariner},0.0021125408104474747,0.5945945945945946,0.00355290954484348,19.720089516267862,88
69,{mariner},{reconnaissance-satellite},0.0021125408104474747,0.07006369426751592,0.03015171884002305,19.720089516267862,88
70,{free-fall},{x-37},0.0012243134242366045,0.2947976878612717,0.0041530631841751485,12.831862576331384,51
71,{x-37},{free-fall},0.0012243134242366045,0.05329153605015674,0.022973881313616284,12.831862576331382,51
72,{ignition},{landing},0.0010322642596504706,0.25748502994011974,0.004009026310735549,33.206800022246526,43
73,{landing},{ignition},0.0010322642596504706,0.13312693498452013,0.007753985020165162,33.20680002224653,43
74,{sunlight},{schiaparelli-lander},0.0023526022661801422,0.547486033519553,0.00429710005761475,15.599232703345075,98
75,{schiaparelli-lander},{sunlight},0.0023526022661801422,0.06703146374829001,0.035096984828116,15.599232703345077,98
76,{ldsd},{center-of-gravity},0.0011763011330900711,0.3081761006289308,0.0038169771461494147,12.379347779940929,49
77,{center-of-gravity},{ldsd},0.0011763011330900711,0.04725168756027001,0.024894372959477627,12.379347779940927,49
78,{soyuz-spacecraft},{trivia},0.003648934127136547,0.8260869565217391,0.004417130785481083,26.572570085613567,152
79,{trivia},{soyuz-spacecraft},0.003648934127136547,0.11737451737451737,0.03108795851738045,26.572570085613567,152
80,{resistance},{trivia},0.003240829652391012,0.625,0.0051853274438256195,20.104247104247104,135
81,{trivia},{resistance},0.003240829652391012,0.10424710424710425,0.03108795851738045,20.104247104247104,135
82,{flame},{planetary-defense},0.0010082581140772038,0.19718309859154928,0.005113309007105819,24.37346930246165,42
83,{planetary-defense},{flame},0.0010082581140772038,0.12462908011869436,0.008090071058190897,24.373469302461654,42
84,{flame},{mir},0.002184559247167275,0.4272300469483568,0.005113309007105819,29.66115805946792,91
85,{mir},{flame},0.002184559247167275,0.15166666666666667,0.014403687343960053,29.66115805946792,91
86,{flame},{trivia},0.0029047436143652774,0.568075117370892,0.005113309007105819,18.27315605343774,121
87,{trivia},{flame},0.0029047436143652774,0.09343629343629344,0.03108795851738045,18.273156053437745,121
88,{data-transmission},{mariner},0.0025926637219128097,0.45,0.005761474937584022,14.92452229299363,108
89,{mariner},{data-transmission},0.0025926637219128097,0.08598726114649681,0.03015171884002305,14.924522292993629,108
90,{skycrane},{x-37},0.0011282888419435375,0.1828793774319066,0.0061695794123295565,7.9603169762837,47
91,{x-37},{skycrane},0.0011282888419435375,0.04911180773249739,0.022973881313616284,7.960316976283702,47
92,{hatch},{schiaparelli-lander},0.0019925100825811406,0.3577586206896552,0.005569425772997886,10.19342893532714,83
93,{schiaparelli-lander},{hatch},0.0019925100825811406,0.05677154582763338,0.035096984828116,10.193428935327137,83
94,{reboost},{mariner},0.003024774342231611,0.5384615384615384,0.005617438064144421,17.85840274375306,126
95,{mariner},{reboost},0.003024774342231611,0.10031847133757962,0.03015171884002304,17.858402743753064,126
96,{risk-management},{schiaparelli-lander},0.0011763011330900711,0.17192982456140352,0.006841751488381026,4.8987064103487175,49
97,{schiaparelli-lander},{risk-management},0.0011763011330900711,0.033515731874145006,0.035096984828116,4.8987064103487175,49
98,{skyhook},{terraforming},0.0010082581140772038,0.15671641791044777,0.00643364701363549,21.83337493136325,42
99,{terraforming},{skyhook},0.0010082581140772038,0.14046822742474915,0.0071778375264067605,21.83337493136325,42
100,{skyhook},{mariner},0.0016324178989821393,0.2537313432835821,0.00643364701363549,8.415153531704537,68
101,{mariner},{skyhook},0.0016324178989821393,0.054140127388535034,0.03015171884002304,8.415153531704535,68
102,{audio},{schiaparelli-lander},0.0012483195698098713,0.18439716312056736,0.006769733051661226,5.2539317557799965,52
103,{schiaparelli-lander},{audio},0.0012483195698098713,0.03556771545827633,0.035096984828116,5.2539317557799965,52
