id,value
radiation,194
space-elevator,68
voyager,153
science,31
mars,1256
space-shuttle,548
kennedy-space-center,29
nasa,715
orbit,523
geosynchronous,51
rovers,234
reaction-wheel,51
attitude,221
oort-cloud,7
low-earth-orbit,345
humans,50
engine-design,354
deep-space,153
vlbi,2
communication,323
mathematics,179
astrodynamics,74
safety,147
environment,40
rtg,48
energy,92
radioactive-decay,2
interstellar-travel,182
engineering,139
nuclear-pulse-propulsion,22
research,59
orbital-maneuver,314
navigation,143
materials,157
asteroid,190
rockets,1037
cubesat,213
observation,86
launch,1065
failure,157
solar-system,77
planet,68
liability,5
technology,107
iss,957
space-station,176
transport,26
spacecraft-development,85
propulsion,514
gasses,14
spacesuits,211
capsule,32
reentry,401
mission-control,44
life,117
water,128
zvezda,9
history,520
balloons,52
jupiter,119
space-weather,24
magnetic-field,103
cost,124
training,33
physical-activity,17
health,132
gravity,285
curiosity,146
skycrane,12
new-horizons,114
pluto,58
ceres,27
venus,168
terraforming,107
astronauts,257
habitat,51
camera,96
electronics,87
protection,11
astronomy,51
law,116
artificial-satellite,739
lagrangian-points,122
oxygen,68
forward-contamination,20
interstellar-medium,14
conceptual,15
project-mercury,42
wet-workshop,2
project-gemini,34
apollo-program,674
aerobot,16
artificial-gravity,77
sterilization,5
meteorites,25
colonization,240
power,120
gas-giant,23
data-storage,17
quarantine,7
operations,19
robotic-missions,46
exoplanet,58
telescope,58
imaging,130
physics,282
shielding,58
space-race,19
solar-sail,79
ground-station,36
instrument,50
the-moon,735
spacecraft,487
flight-computer,83
fuel,382
end-of-life,33
space-tug,10
orbital-lifetime,8
medical,68
nuclear,98
time,99
mining,89
life-support,84
lunar-landing,145
china,62
planetology,3
geophysics,4
scientific-data,43
raw-data,27
microgravity,149
russia,116
trajectory,232
docking,96
economics,39
orbital-mechanics,1462
long-duration,31
orbital-assembly,20
food,64
plants,26
spaceport,17
japan,10
jaxa,37
impact,78
spacex,1295
falcon-9,600
gravity-fields,12
commercial,76
falcon-heavy,184
vacuum,59
black-hole,20
extra-solar-object,12
titan,72
probe,261
future-missions,84
astronaut-lifestyle,96
gnss,25
gps,77
cosmic-radiation,53
orbit-determination,28
rosetta,49
data-transmission,91
planning,46
solar-power,166
construction,62
outgassing,8
amateur-radio,23
solar-wind,37
reuse,213
landing,337
supply,8
robotics,35
astrobiology,108
movement,12
psychology,16
air-bag,7
caves,9
dragon,95
space-track,11
esa,73
comet,58
deep-space-network,97
atmospheric-drag,112
delta-v,148
rail-gun,12
tourism,35
thermal,96
lander,120
gravity-assist,128
atmosphere,299
weather,60
myth-busting,25
reference-request,90
communication-satellite,173
terminology,181
waste,24
record,116
mass,67
measurement,66
sun-synchronous,36
flight-termination-system,12
debris,219
optical,39
earth-observation,103
software,115
radio-telescope,28
dimensions,8
data-systems,4
space-industry,17
orbit-selection,4
sound,36
stages,60
isro,88
pslv,18
interplanetary,180
geostationary,131
fuel-depots,18
facility,17
ramjet,8
ssto,31
cryogenics,60
cus,2
space-program,12
isru,46
travel,45
space-sickness,11
perseid,1
maintenance,11
animals,40
radar,52
spirit,15
opportunity,23
abort,67
saturn,61
reliability,16
launch-escape-system,40
kepler-telescope,16
buran,16
guidance,72
tracking,112
stealth,2
integration,9
testing,113
standards,14
military,68
eva,150
payload,95
the-sun,104
cme,10
regolith,36
dust,49
constellation-program,8
vibration,14
srb,59
space-surveillance,11
velcro,3
fastening,2
station-keeping,50
pioneer,27
climate,15
ariane,35
classified,8
cassini,48
temperature,94
ladee,6
death,13
procedure,41
resolution,5
battery,34
lifetime,3
berthing,8
engines,401
lift,30
sub-orbital,53
exosphere,8
clean-room,4
space-dust,13
high-altitude-launch,10
ecliptic-plane,11
orbital-elements,167
grail,3
antimatter,12
lightning,11
cost-to-orbit,28
europa,36
laser,54
nozzle,91
burn,9
specific-impulse,61
aerobraking,43
magnetorquer,20
logistics,11
altitude,45
moonwalking,29
planetary-science,268
experiment,54
flyby,66
security,22
geology,62
remote-sensing,32
apollo-13,54
juno,67
ftl,8
photography,150
moons,60
cygnus,10
htv,5
zarya,5
rings,12
mir,29
soyuz-spacecraft,173
lyappa,1
progress,19
rotation,61
mercury,34
crater,17
tdrss,16
conjunction,18
safe-mode,4
iran,4
roscosmos,33
draco,3
merlin-1d,58
rendezvous,56
upper-stage,62
ground-track,29
analysis,14
parachute,48
crew-size,9
