StackExchange,Size,Number of XMLs
3dprinting.meta.stackexchange.com.7z,660.1K,1,Badges.xml
3dprinting.stackexchange.com.7z,13.9M,1,Badges.xml
academia.meta.stackexchange.com.7z,4.8M,1,Badges.xml
academia.stackexchange.com.7z,137.0M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
ai.meta.stackexchange.com.7z,901.0K,1,Badges.xml
ai.stackexchange.com.7z,25.2M,2,Badges.xml,Posts.xml
android.meta.stackexchange.com.7z,2.9M,1,Badges.xml
android.stackexchange.com.7z,106.0M,6,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
anime.meta.stackexchange.com.7z,3.9M,1,Badges.xml
anime.stackexchange.com.7z,31.5M,2,Badges.xml,Posts.xml
apple.meta.stackexchange.com.7z,4.3M,1,Badges.xml
apple.stackexchange.com.7z,239.6M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
arduino.meta.stackexchange.com.7z,942.0K,1,Badges.xml
arduino.stackexchange.com.7z,66.4M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
askubuntu.com.7z,880.2M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
astronomy.meta.stackexchange.com.7z,971.3K,1,Badges.xml
astronomy.stackexchange.com.7z,34.9M,3,Badges.xml,PostHistory.xml,Posts.xml
aviation.meta.stackexchange.com.7z,2.2M,1,Badges.xml
aviation.stackexchange.com.7z,80.0M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
avp.meta.stackexchange.com.7z,545.2K,1,Badges.xml
avp.stackexchange.com.7z,17.0M,1,Badges.xml
beer.meta.stackexchange.com.7z,262.7K,1,Badges.xml
beer.stackexchange.com.7z,3.6M,1,Badges.xml
bicycles.meta.stackexchange.com.7z,1.4M,1,Badges.xml
bicycles.stackexchange.com.7z,56.8M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
bioinformatics.meta.stackexchange.com.7z,329.9K,1,Badges.xml
bioinformatics.stackexchange.com.7z,11.1M,1,Badges.xml
biology.meta.stackexchange.com.7z,2.9M,1,Badges.xml
biology.stackexchange.com.7z,67.8M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
bitcoin.meta.stackexchange.com.7z,1.2M,1,Badges.xml
bitcoin.stackexchange.com.7z,55.7M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
blender.meta.stackexchange.com.7z,2.5M,1,Badges.xml
blender.stackexchange.com.7z,130.1M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
boardgames.meta.stackexchange.com.7z,2.2M,1,Badges.xml
boardgames.stackexchange.com.7z,35.2M,3,Badges.xml,PostHistory.xml,Posts.xml
bricks.meta.stackexchange.com.7z,582.0K,1,Badges.xml
bricks.stackexchange.com.7z,8.7M,1,Badges.xml
buddhism.meta.stackexchange.com.7z,2.0M,1,Badges.xml
buddhism.stackexchange.com.7z,43.3M,3,Badges.xml,PostHistory.xml,PostLinks.xml
cardano.meta.stackexchange.com.7z,69.7K,1,Badges.xml
cardano.stackexchange.com.7z,1.1M,1,Badges.xml
chemistry.meta.stackexchange.com.7z,4.9M,1,Badges.xml
chemistry.stackexchange.com.7z,97.8M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
chess.meta.stackexchange.com.7z,912.5K,1,Badges.xml
chess.stackexchange.com.7z,25.3M,2,Badges.xml,Posts.xml
chinese.meta.stackexchange.com.7z,1.2M,1,Badges.xml
chinese.stackexchange.com.7z,27.2M,2,Badges.xml,Posts.xml
christianity.meta.stackexchange.com.7z,6.6M,1,Badges.xml
christianity.stackexchange.com.7z,90.4M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
civicrm.meta.stackexchange.com.7z,160.9K,1,Badges.xml
civicrm.stackexchange.com.7z,18.7M,1,Badges.xml
codegolf.meta.stackexchange.com.7z,21.3M,2,Badges.xml,Posts.xml
codegolf.stackexchange.com.7z,329.6M,6,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
codereview.meta.stackexchange.com.7z,9.7M,1,Badges.xml
codereview.stackexchange.com.7z,465.9M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
coffee.meta.stackexchange.com.7z,246.3K,1,Badges.xml
coffee.stackexchange.com.7z,4.0M,1,Badges.xml
cogsci.meta.stackexchange.com.7z,2.0M,1,Badges.xml
cogsci.stackexchange.com.7z,23.2M,2,Badges.xml,Users.xml
computergraphics.meta.stackexchange.com.7z,360.3K,1,Badges.xml
computergraphics.stackexchange.com.7z,9.3M,1,Badges.xml
conlang.meta.stackexchange.com.7z,174.3K,1,Badges.xml
conlang.stackexchange.com.7z,1.6M,1,Badges.xml
cooking.meta.stackexchange.com.7z,3.2M,1,Badges.xml
cooking.stackexchange.com.7z,66.3M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
craftcms.meta.stackexchange.com.7z,192.5K,1,Badges.xml
craftcms.stackexchange.com.7z,19.6M,2,Badges.xml,Users.xml
crafts.meta.stackexchange.com.7z,537.9K,1,Badges.xml
crafts.stackexchange.com.7z,5.8M,1,Badges.xml
crypto.meta.stackexchange.com.7z,2.0M,1,Badges.xml
crypto.stackexchange.com.7z,78.6M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
cs.meta.stackexchange.com.7z,2.8M,1,Badges.xml
cs.stackexchange.com.7z,99.6M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
cseducators.meta.stackexchange.com.7z,626.6K,1,Badges.xml
cseducators.stackexchange.com.7z,7.9M,1,Badges.xml
cstheory.meta.stackexchange.com.7z,2.2M,1,Badges.xml
cstheory.stackexchange.com.7z,36.0M,3,Badges.xml,PostHistory.xml,Posts.xml
datascience.meta.stackexchange.com.7z,752.4K,1,Badges.xml
datascience.stackexchange.com.7z,64.3M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
dba.meta.stackexchange.com.7z,3.2M,1,Badges.xml
dba.stackexchange.com.7z,259.5M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
devops.meta.stackexchange.com.7z,390.9K,1,Badges.xml
devops.stackexchange.com.7z,11.3M,1,Badges.xml
diy.meta.stackexchange.com.7z,1.5M,1,Badges.xml
diy.stackexchange.com.7z,143.7M,6,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
drones.meta.stackexchange.com.7z,155.4K,1,Badges.xml
drones.stackexchange.com.7z,1.8M,1,Badges.xml
drupal.meta.stackexchange.com.7z,2.5M,1,Badges.xml
drupal.stackexchange.com.7z,145.7M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
dsp.meta.stackexchange.com.7z,805.2K,1,Badges.xml
dsp.stackexchange.com.7z,62.0M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
earthscience.meta.stackexchange.com.7z,1.0M,1,Badges.xml
earthscience.stackexchange.com.7z,17.1M,1,Badges.xml
ebooks.meta.stackexchange.com.7z,291.3K,1,Badges.xml
ebooks.stackexchange.com.7z,3.9M,1,Badges.xml
economics.meta.stackexchange.com.7z,1.2M,1,Badges.xml
economics.stackexchange.com.7z,30.4M,2,Badges.xml,Posts.xml
electronics.meta.stackexchange.com.7z,6.2M,1,Badges.xml
electronics.stackexchange.com.7z,449.6M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
elementaryos.meta.stackexchange.com.7z,260.0K,1,Badges.xml
elementaryos.stackexchange.com.7z,12.7M,1,Badges.xml
ell.meta.stackexchange.com.7z,5.1M,1,Badges.xml
ell.stackexchange.com.7z,167.1M,6,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
emacs.meta.stackexchange.com.7z,826.5K,1,Badges.xml
emacs.stackexchange.com.7z,42.7M,3,Badges.xml,PostHistory.xml,PostLinks.xml
engineering.meta.stackexchange.com.7z,1019.4K,1,Badges.xml
engineering.stackexchange.com.7z,29.1M,2,Badges.xml,Posts.xml
